"Augsgräbernummer";"Ausgräber";"Ausgräbertätigkeit"
286;"Mayer (Pfarrer)";1
287;"Brumann, F. (Kaserneninspektor)";3
288;"Durner, N.";
290;"Guppenberger, K.";
291;"Wagner, F. (Prähistorische Staatssammlung)";14
292;"Haxthausen, E. v.";12
293;"Broili, J.";
294;"Henlein, v.";12
295;"Lang, F. J. (Komm. Rat)";
299;"Tscherning (Forstmeister)";4
300;"Zenetti, P.";
301;"Hist. Verein Dillingen";
302;"Hofmeister, F.";
303;"Gaßner (Prof.)";2
307;"Leiner, L.";
308;"Strehle (Revierförster)";4
309;"Keim, E. (Generalmajor)";3
310;"Rest, W.";
311;"Väth (Lehrer)";2
312;"Schmitt, F. J.";
313;"Altefeld";
314;"Daschner";
315;"Rückert";
316;"Reinhard (Lehrer)";2
317;"Fremd";
319;"Hofmann";
320;"Höhn, J.";
321;"Höhn, P.";
322;"Freund (Präparator)";14
323;"Wilke, Dr. G. (Pfarrer)";1
324;"Pezolt (Revierförster)";4
325;"Sander, A. v.";12
326;"Virchow, H. (Dr.)";
327;"Emmerich";
328;"Endrich, P. (Prof.)";2
329;"Castell, Wolfgang Graf zu";12
330;"Sandberger (Prof.)";2
331;"Spiegel, K. (Lehrer)";2
332;"Thüngen, H. v.";12
333;"Lockner";
334;"Wiedersheim (Dr.)";
335;"Hist. Ver. Unterfranken";
336;"Conrady, W.";
337;"Nunn, L. (Lehrer)";2
338;"Schmitt, J. C. (Dr.)";
339;"Zeitler (Pfarrer)";1
340;"Institut f. Ur- u. Frühgesch. Freiburg";
341;"Knittel (Pfarrer)";1
342;"Schliz, Alfred (Arzt)";15
343;"Kost, E.";
344;"Schiek";
345;"Üxküll, v. (Oberförster)";4
346;"Gaßner (Förster)";4
349;"Volz (Forstmeister)";4
351;"Maier, E.";
352;"Hist. Ver. Heilbronn";
353;"Titot";
355;"Forrer";
356;"Menzel, W.";
357;"Dürrich (Oberleutnant)";3
358;"Staudacher (Oberförster)";4
364;"Moog, F.";
365;"Brengartner (Pfarrer)";1
366;"Urgesch. Inst. Tübingen";
367;"Peter, A.";
371;"Stahl, E.";
372;"Wanner";
373;"Klopffleisch";
374;"Recknagel (Pfarrer)";1
375;"Bechstein";
376;"Rost, L.";
377;"Krapf, H. J. G.";
378;"Wild, I. V. (Kaplan)";1
379;"Siegel";
380;"Stanzinger (Pfarrer)";1
381;"Wüstenfeld, H. (stud. chem. bzw. Dr.)";6
382;"Schleyer, M. (Bürgermeister)";13
383;"Jacobi (Oberförster)";4
384;"Hubrich (Dr.)";
385;"Warmuth (Bauer)";5
386;"Gudden (Dir. Dr.)";
387;"Röder (Kaplan)";1
388;"Bibra, v.";12
389;"Hertel, V. (Direktionsrat Dr.)";
390;"Schmitt, H. (Direktionsrat)";
392;"Vierengel (Lehrer)";2
393;"Schrant (Kaufmann)";17
394;"Mangold (Oberförster)";4
397;"Fleck (Förster)";4
399;"Pieverling, v.";12
400;"Haffner (Stadtarchivar)";16
401;"Leutner (Oberlehrer)";2
404;"Schmoller (Prof.)";
405;"Thrän";
406;"Erlenmeyer";
407;"Ulmer Altertumsverein";
408;"Seeh (Glaser)";10
409;"Matt (Bürgermeister)";13
410;"Reck (Major)";3
414;"Burkhardt (Oberpräzeptor)";2
415;"Weisert (Baumeister)";6
416;"Schwarz (Gärtner)";10
417;"Tessin, v. (Freiherr)";12
418;"Flesch (Dr. [Arzt])";15
419;"Öhrlein, S. (Landwirt)";5
420;"Grätz";
421;"Jordan, K. (Gutsbesitzer)";11
422;"Seifert";
423;"Jakob (Dr.)";
424;"Giggelberger (Dr.)";
425;"Hartmann, J. G. (Pfarrer)";1
426;"Schärr, von der  (Fähnrich)";3
427;"Nenninger, F. J. (Dekan)";1
428;"Ganzenmüller (Lehrer)";2
429;"Archäologische Arbeitsgruppe Rhön-Grabfeld";
430;"Stuhlfauth, A.";
431;"Seyler, E.";
432;"Pollinger, J. (Hist. Ver. Ndb., aus Landshut)";
434;"Storch (Rentamtmann)";13
435;"Ertle, J.";
436;"Denzel, A.";
437;"Freitag (Hauptlehrer)";2
438;"Heim, J. (Dr., Lehrer)";2
439;"Ritzler, M. (Lehrer)";2
440;"Titze, W. (Präparaotr, LfD)";14
442;"Schäuble, L. (Pfarrer)";1
447;"Defay, H.";
449;"Miller, G.";
456;"Bassenheim, Graf von";12
457;"Eitenbenz, J. A. (Pfarrer)";1
458;"Edelmann, Hieronymus (Apotheker)";7
459;"Hist. Ver. Schwaben u. Neuburg";
462;"Fischer, E.";
463;"Schreiber, H.";
464;"Altertumsverein Donaueschingen";
465;"Mayer, C. F.";
466;"Wölfle (Pfarrer)";1
467;"Großmann (Bezirksarzt)";15
468;"Großmann, Jr.";
471;"Potschigmann (Ing.)";6
472;"Eberl, B.";
473;"Goeringer, H. (Hauptmann, Major)";3
474;"Haselbeck (Pfarrer, Hist. Ver. f. Ndb.)";1
475;"Neubauer, H.";
476;"Kienle, v. (Leutnant)";
477;"Kandler, J.";
478;"Hofmeister (Förster)";4
479;"Hist. Ver. Niederbayern";
480;"Schmid (Forstmeister)";4
481;"Spanfehlner, J. (Hist. Ver. Ndb.)";
482;"Merhart, G. v.";14
483;"Brand (Pfarrer, aus Erlach)";1
484;"Krumm (Schreiner, aus Heft bei Aidenbach)";10
485;"Spirkner";
486;"Pigenot, v. (Passau, Kreisbaurat)";13
487;"Kambli, C. (Pfarrkirchen; Buchdruckereibesitzer)";17
488;"Lößl, V. (Pfarrkirchen; Hauptlehrer)";2
489;"Faist (Birnbach, Hofwirt, Baumeister)";5
490;"Walke, N.";
492;"Ver. f. Kunst u. Altertum Ulm";
493;"Aichele (Pfarrer)";1
495;"Diehl (Hauptmann)";3
496;"Leube (Dr.)";
497;"Kuppinger (Pfarrer)";1
498;"Seubert, v. (Major)";3
499;"Ganzhorn, W.";
500;"Buchauer Altertumsverein";
501;"Haas, N.";
502;"Heller, J.";
503;"Hermann, L.";
504;"Reinsch, P.";
505;"Oesterreicher, A.";
506;"Hermann";
507;"Imhof";
508;"Engelhardt, J.";
509;"Köberlin";
510;"Hoffmann, L.";
511;"Wonsees";
512;"Fischer, J. B.";
513;"Streit, v.";12
514;"Hagen, E. C.";
515;"Baer, C.";
516;"Verein Bayreuth";
517;"Schildhauer";
518;"Münster, Graf G. zu";12
519;"Räbel, H. (Prof. Dr., Forchheim)";2
520;"Födisch, H.";
521;"Panzer, F.";
522;"Peter, C. Th.";
524;"Florschütz";
525;"Höfler";
526;"Künssberg";
527;"Küchenhoff";
528;"Hist. Ver. Oberfranken";
529;"Schmauß";
530;"Hundt, H.";
531;"Schlund";
532;"Kirchner";
533;"Martin";
534;"Gümbel, C. W. v.";12
535;"Klopper, W. (Forstmeister)";4
536;"Reinecke, P.";
537;"Aufseß, H. Frh. v. u. z.";12
538;"Hübsch, K.";
539;"Lutz";
540;"Künneth, M. J. Th.";
541;"Zedler";
542;"Limmer, F.";
543;"Goldfuß, G. A.";
544;"Bingel, C.";
545;"Geyer, W.";
546;"Anthrop. Ver. Coburg";
547;"Zauch";
548;"Voigtel";
549;"Rädlein, G.";
550;"Möller, J.";
551;"Lotz, G.";
552;"Braun";
553;"Müller, J.";
554;"Egloffstein, Frhr. v.";12
555;"Kaupert, J. M.";
556;"Schmidt";
557;"Stumpf";
558;"Wehrfritz";
559;"Stadelmann, W.";
560;"Giech, K. Graf v.";12
561;"Kraus, K.";
562;"Roßbach, G.";
563;"Hinzler, H.";
564;"Paulsen, R. [oder P.]";
565;"Badum, Ph.";
566;"Ranke, J.";
567;"Zapf, L.";
568;"Arch. Ver. Günzburg";
570;"Caron du Val (Patrimonialrichter)";8
571;"Niederer (Pfarrer)";1
572;"Waldburg-Zeil, Fürst von";12
573;"Miller";
574;"Eith";
575;"Binder";
576;"Breeg, H.";
577;"Spannagel (Revierförster)";4
579;"Riedlinger Altertumsverein";
580;"Riek, G.";
583;"Fribolin";
584;"Vojkffy, C. (Graf)";12
585;"Fraas, O.";
586;"Hülle";
587;"Schmidt (Pfarrer)";1
588;"Richter, J.";
589;"Rad, A. v. (Dr.)";
590;"Vanotti";
591;"Dittus (Baurat)";6
592;"Albrecht (Herzog)";12
593;"Kley";
594;"Bittel";
595;"Heidenheimer Altertumsverein";
596;"Schinzinger (Oberförster)";4
597;"Mattes, W.";
598;"Hammer, Wilhelm (Dr., Hofrat)";
599;"Hist. Ver. Ludwigsburg";
600;"Altertümersammlung Stuttgart";
601;"Wepfer (Hauptmann)";3
602;"Mayer (Prof.)";2
603;"Weigel (Dr.)";
604;"Scheuthle (Lehrer)";2
605;"Schips (Pfarrer)";1
606;"Gfröreis (Lehrer)";2
607;"Wunderlich";
608;"Mandelslohe (Graf)";12
609;"Weyermann";
610;"Beyttenmüller";
611;"Uracher Altertumsverein";
612;"Rottweiler Altertumsverein";
613;"Betz (Pfarrer)";1
614;"Bauer [oder Beier] (Forstmeister)";4
615;"Cohausen";
616;"Jaumann, I. v.";12
617;"Eisele (Rektor)";2
618;"Christ, W.";
619;"Bader, Franz";
620;"Unold, J. Fr.";
621;"Stechele (Lehrer)";2
622;"Steier, Dr. August (Gymnasiallehrer)";2
623;"Lippus (Pfarrer)";1
624;"Haug (Lehrer)";2
625;"Ströbel (Dr.)";
626;"Badmer (Honighändler)";10
627;"Bode, F.";
628;"Hist. Ver. Miesbach";
629;"Knabl, S. (Pfarrer)";1
630;"Gandtner";
631;"Gareis, C. (Forstmeister)";4
632;"Wenzl, J. (Gymnasialprofessor)";2
633;"Holzhey, K. (Prof.)";2
634;"Mittermaier (Landrat)";13
635;"Müller, F.";
636;"Hist. Ver. Oberbayern";
637;"Hartmann, Fr. S. (Gerichtsschreiber)";8
639;"Hist. Ver. Ingolstadt";
640;"Frank (Kurat)";1
641;"Staatsslg. München";
642;"Lohr, O.";
643;"Hist. Ver. Schrobenhausen";
644;"Reichsarbeitsdienst";
645;"Boxler (Landrichter)";8
646;"Wille (Lehrer)";2
647;"Mettingh, Frhr. v.";12
648;"Arnold";
649;"Hist. Ver. Chiemgau";
650;"Dietl, H.";
651;"Hefner, V.";
652;"Schmid, A.";
653;"Wahle, E.";14
654;"Zehnter (Landgerichtspräsident)";8
655;"Seubert, M. (Mannherimer Altertumsverein)";
656;"Wurz, J. (Mannheimer Altertumsverein)";
657;"Rach, Eduard (Gymnalisaldirektor)";2
658;"Weick, E.";
659;"Buscher (Prof., Düsseldorf)";2
660;"Eck (Gemeinderat, Poppenhausen)";13
661;"Steidel (Oberförster)";4
662;"Calwer (Dr.)";
663;"Colbas (lothringischer Abbé)";1
664;"Albrecht (Domänendirektor)";11
665;"Mundorff (Schlutheiß, Jagstfeld)";13
666;"Münchner Inst. f. Vor- u. Frühgesch.";
667;"Kepler (Oberlehrer)";2
668;"Halm (Bezirksförster)";4
669;"Wilhelm (Bezirksarzt)";15
670;"Hochstetter (Kaufmann)";17
671;"Gayler (Archidiakon, Prof., Reutlingen)";1
672;"Schlenker, Karl (Pfarrer)";1
673;"Sörgel, W.";
674;"Übelhack, K. (Bauer)";5
675;"Dürrwaechter (Prof.)";2
676;"Alberti, v. (Salinendirektor)";17
677;"Hanner (Hauptlehrer)";2
678;"Flad (Lehrer, Steinhilben)";2
679;"Autenrieth";
680;"Kersten, Walther";
681;"Lang, Adolf (Museumsleiter)";14
682;"Schneider, K.";
683;"Museum Aschaffenburg";
684;"Faust, U.";
685;"Dannheimer, W.";
686;"Dannheimer, H.";
688;"Haas (Landgerichtsassessor)";8
689;"Fischer (Pfarrer)";1
692;"Wagner (Lehrer)";2
693;"Geyr von Schweppenburg, Max Freiherr";12
694;"Pfizenmaier (Forstmeister)";4
695;"Wiesend, Georg (Bezirksamtmann";13
696;"Remond (Stadtbergen; Revierförster)";4
697;"Keim, P. (cand. chem.)";7
698;"Brückner, v. (Generalmajor)";3
699;"Fickler (Donaueschingen)";0
700;"Schellenberg, Hans von";12
701;"Homberger (Prof., Karlsruhe)";2
702;"Haaf, M. (Architekt)";6
703;"Hotz, Joseph (Landwirt, Vilsingen)";5
704;"Baur (oder Bauer), Jacob (Landwirt, Engelswies)";5
705;"Hövel, Hermann v. (Straßenbauingenieur)";6
706;"Metzger (Oberförster)";4
707;"Bonnet, A.";0
708;"Schumacher";0
709;"Mentzingen, v. (Freiherr)";12
710;"Lori, M. v. (Hofrat)";0
