"Grab";"Bestattungsnummer";"Bestattungsbezeichnung";"Bestattungsbeschreibung";"Bestattungsmodus";"Bestattungsausrichtung";"Bestattungserhaltung";"Bestattungslage"
84;27;"13/I";"Schlecht erhaltene Körperbestattung ""mit nord-südlich ausgerichteten Langknochen"" [also Kopf im Norden?]; sicher erwachsen, adult bis frühmatur";2;9;3;11
85;28;"13/II/2";"Leichenbrandanhäufung, nicht mehr auffindbar; ohne Holzkohleanteile";3;9;4;1
85;29;"13/II/1";"Relativ gut erhaltene Körperbestattung";2;5;1;1
86;30;"14";;3;9;2;11
87;32;;"Schlecht erhaltene, wahrscheinlich beraubte Körperbestattung";2;4;3;1
88;33;"16";"Leichenbrand in Grube und in Gefäß ungleich verteilt";3;9;2;11
89;34;;"Wenig Leichenbrand";3;9;3;11
90;35;"20";"Leichenbrand in Grubenfüllung + Gefäß";3;9;2;11
91;36;;"Kaum dokumentiert";3;9;3;11
92;37;;"Nordsüdlich ausgerichtete Körperbestattung (ca. 5jährig)";2;5;3;11
93;38;"22/II/1";"Schlecht erhaltenes Skelett eines ca. 12jährigen Kindes (ohne Oberkörper + Becken)";2;5;3;8
93;39;"22/II/2";"Leichenbrand zu Füßen von Ind. 1";3;9;2;9
94;43;"23/I";"Knochen eines Kindes";2;9;3;11
95;40;;"Schlecht erhaltenes anfang juveniles Skelett, Becken, Wirbelsäule, Brustkorb fehlten weitgehend";2;5;3;8
96;41;"24";"Knochen gut erhalten, jedoch fehlten rechtes Arm + Bein, gesamter Schädel, Teile nach O verlagert; spätadult bis frühmatur";2;5;2;8
97;42;"26";"spätadulte oder frühmature Körperbestattung";2;13;1;9
98;44;"27/1";"Annähernd vollständiges Skelett, anscheinend frühadult";2;5;1;8
98;45;"27/2";"Wenige Reste eines 6-7jährigen Kindes, zwischen denen von Individuum 1";2;9;3;8
99;46;"28/I/1";;2;9;3;11
99;47;"28/I/2";;2;9;3;11
100;48;"28/II";"Fein ausgelesener Leichenbrand in 8cm dicker Lage ausgelegt (0,4 x 0,8 m); Stücke bis 1 cm Größe; weiterer Leichenbrand aus Gefäß in S, wohl dazugehörig; im Leichenbrand auch 2 unvollständig kalzinierte Wirbelknochen [deutet auf nicht allzu hohe Temperatu";3;1;1;8
102;49;"29";"Offensichtlich gut erhaltene Bestattung; deshalb ist Fehlen von Oberkörper mysteriös";2;5;1;8
105;50;"30/I";"Wenige Knochenreste";2;9;3;11
109;51;"30/II";"Relativ vollständig überliefertes Skelett, jedoch sehr stark zerdrückt; wahrscheinlich frühadult";2;4;2;9
112;52;"31";"Stark zerdrücktes anscheinend frühmatures Individuum; besondere Armhaltung (linker Arm unter rechter Beckenschaufel) evtl. durch Einbrechen der Kammer bewirkt";2;13;2;8
114;53;"32";"Sehr gut erhaltenes Individuum, leicht nach Westen verschoben";2;13;1;1
118;54;"33/1";"Spätadulte Frau, Arme waren zum Brustbein hin angewinkelt; Beine wiesen schräg zu Individuum 2";2;5;1;8
118;55;"33/2";"Stärker gestörtes frühadultes Individuum, Armhaltung deshalb nicht feststellbar";2;13;2;1
120;56;"35";"Vermutlich durch eingestürzte Grabkammer stark gestörtes Individuum, wohl frühmatur";2;13;2;9
121;57;"36/1";"nur in wenigen Resten erhaltenes, frühmatures Individuum";2;9;3;8
121;58;"36/2";"Einzelnes Sprungbein, Zugehörigkeit?";2;9;3;11
121;59;"36/3";"Gefäß mit Leichenbrand, Urne war mit umgedrehter Schüssel bedeckt";3;9;2;7
121;60;"36/4";"Leichenbrand in Brandschüttung an nordwestlichem Kammerrand";3;9;3;2
122;61;"37/1";"Frühmatures Individuum, starke Störungen im Kopf-Brust- + Armbereich, rechtes Bein überlagerte linkes Bein von Ind. 2";2;5;2;1
122;62;"37/2";"Linker Arm von Ind. 2 unter Ind. 1, rechte Hand im Beckenbereich; leicht verkrümmte Haltung; Becken von Ind. 1 ungefähr auf Höhe von Brustkorb von Ind. 2";2;13;1;1
122;63;"37/3";"Knochen von Ind. 3 verräumt";2;9;3;8
122;64;"37/4";"Reste eines Neugeborenen";2;9;3;8
122;65;"37/5";"Wenig Leichenbrand";3;9;3;8
123;66;"38/1";"Nur noch teilweise im anatomischen Verband, frühadult";2;4;3;11
123;67;"38/2";"stark verlagert, mitteladult";2;4;3;11
124;68;"39";"Wenige Partikel";3;9;3;11
126;69;"41";"Juveniler oder jüngererwachsener Leichenbrand";3;9;3;11
127;70;"42";;3;9;2;4
128;71;"43";"Sehr schwacher Eindruck; inwieweit Auslese erfolgte, nicht klar";3;9;3;11
129;72;"44/1";;3;9;2;1
129;73;"44/2";;3;9;2;1
130;74;"45";"Leichenbrand in Schüssel + darüberliegender Grube";3;9;1;11
131;75;"46";"Sehr gut erhaltene Körperbestattung; Schädel lag 0,4 m vom restlichen Körper entfernt, ohne daß Enthauptungsspuren festzustellen wären";2;4;1;7
133;76;"47";"Eindruck adult";3;9;2;11
134;77;"48";"Leichenbrand in Grube + Gefäß; offensichtlich zusammengehörig; Kombination männlicher+ weiblicher Merkmale";3;9;1;11
135;78;"50";"Wenige Partikel";3;9;3;6
136;79;"51/I/1";"Frühadultes, wohl weibliches Individuum";2;9;3;11
136;80;"51/I/2";"Vereinzelte Knochen";2;9;3;11
136;81;"51/I/3";"Wenige Knochen";2;9;3;11
137;82;"51/II/1";"Gut erhaltene, spädadulte oder frühmature Frau";2;5;1;1
137;83;"51/II/2";"Verlagertes Individuum";2;9;3;8
138;84;"52";"Leichenbrandhaltige Brandschüttung";3;1;2;2
139;86;"53";"Leichenbrand in gesamter Kammer verstreut mit besonderer Konzentration bei Keramik im SO";3;9;2;11
140;87;"54";"Weiträumig verstreuter Leichenbrand, wohl von einem wohl adulten Individuum";3;9;2;4
141;88;"55";"Nur noch Reste erhalten";2;13;3;8
142;89;"56/I";"Juveniler oder adulter Leichenbrand";3;9;3;11
142;90;"56/II";"Unverbranntes Schläfenbeinfragment [zufällig hineingeraten?]";2;9;3;11
143;91;"57";"Gut erhaltene Körperbestattung, eher früh- als spätadult; Unterarme zum Brustbein angewinkelt";2;13;1;8
144;92;"58/I";"Reste eines ca. siebenjährigen Individuums";2;9;3;11
144;93;"58/II";"Reste eines ca. 11jährigen Individuums";2;9;3;11
145;94;"59";"Leichenbrand in Gefäßgegend und in Grubenfüllung, offensichtlich ein Individuum";3;9;2;11
147;95;"62";"Spätadultes Individuum; Leichenbrand in Beutelform niedergelegt, darunter auch größere Stücke kalzinierter Langknochen + größere Holzkohlestücke";3;9;2;1
148;96;"63/I";"Wohl jüngererwachsenes Individuum";3;9;3;1
148;97;"63/II";"Sicher nichterwachsenes Individuum";3;9;3;1
149;98;"64/I";"Spätmatures oder seniles Individuum, nur als Knochenhaufen erhalten";2;9;3;5
149;99;"64/II";"Überzähliger Humerus + Halswirbel deuten auf weiteres Individuum";2;9;3;5
150;100;"65/I";"Anscheinend spätmatures Individuum; bei guter sonstiger Erhaltung fehlten Rippen";2;13;1;8
150;101;"65/II";"Leichenbrand neben Skelett + außerhalb Grabkammer in Holzkonzentration könnte von demselben Individuum stammen";3;9;2;11
151;102;"66/I/1";"Gut erhaltene Bestattung";2;5;1;7
151;103;"66/I/2";"Nur in geringen Resten erhalten, bei Ausgrabung nicht erkannt";2;9;3;11
154;104;"66/II/3";"Gut erhaltenes Individuum [Benennung ist durchgehend]";2;13;1;8
154;105;"66/II/4";"Leichenbrandfragmente, offensichtlich von einem Individuum, neben Skelett + in Brandschüttung im SO";3;9;2;11
154;106;"66/II/5";"Einzelnes Wadenbeinschaftfragment paßt in Robustizität nicht zu übrigem Leichenbrand [doch ziemlich wackliges Argument]";3;9;3;5
155;107;"67";"Leichenbrand könnte von einem Individuum stammen";3;9;2;11
156;108;"68/I";"Einzelner Oberschenkelknochen";2;9;3;6
157;109;"68/II";"Gut erhaltenes, vermutlich spätmatures Skelett; linken Unterarmknochen + Wadenbeine lagen kreuzweise übereinander";2;5;1;8
158;111;"Brandbestattung";"Spätadultes bis matures Individuum, wohl verteilt auf ausgelesene Leichenbrandkonzentration + leichenbrandhaltige Brandschüttung (0,9 x 0,7 m)";3;9;1;8
159;112;"70";"Wohl von einem einzigen Individuum";3;9;2;11
160;113;"71";"Hockerbestattung in Rückenlage mit rechtsseitig angewinkelten Beinen; Schädel war zur linken Schulter verkippt";2;5;1;8
161;114;"72";"Nur wenig Leichenbrand, derzeit nicht auffindbar";3;9;4;11
162;115;"73/1";"Offensichtlich verlagertes spätmatures oder älteres Individuum";2;9;3;2
162;116;"73/2";"Sauber ausgelesener + vielleicht gewaschener Leichenbrand; Häufchen Dm. 30 cm sehr stark fragmentiert, ohne größere Knochenstücke; evtl. gehört Häufchen in Brandschüttung im W noch dazu";3;9;1;7
162;117;"73/3";"Sauber ausgelesener + vielleicht gewaschener Leichenbrand; auch größere Leichenbrandstücke; evtl. kleinere Häufung im SW dazugehörig; Dm. Von 30 cm";3;9;1;7
164;118;"74/1";"Nur Körperbestattungsreste eines frühadulten Individuums";2;9;3;11
164;119;"74/2";"einzelnes Schlüsselbein";2;9;3;11
165;120;"75";"Wohl spätadultes Individuum";3;9;2;4
166;122;"76";"In Gefäß befindlicher Leichenbrand, etwas Leichenbrand auch in Grubenfüllung";3;9;2;9
167;123;"77";"Leichenbrand aus Grubenfüllung + Urne [wohl durch Zerdrückung des Gefäßes hineingelangt]; Stückgröße des Leichenbrandes nahm in Gefäß nach unten hin zu; in Urne auch geringe Holzkohlepartikel";3;9;2;11
168;124;"78";"Nur wenig Leichenbrand";3;9;3;10
169;125;"79";"Leichenbrand im unteren Teil einer Urne";3;9;1;1
170;126;"80/1";"einzelnes verbranntes Hirnschädelfragment";3;9;3;11
170;127;"80/2";"Reste eines unverbrannten Unterkiefers";2;9;3;11
171;128;"81";"Spätmatures Individuum";2;9;3;11
172;129;"82";"Leichenbrand in Grube + in Urne";3;9;2;2
173;130;"83";"Leichenbrand anscheinend von einem Individuum";3;9;3;8
174;131;"84";"Einige Knochen, aber kaum dokumentiert";2;9;4;11
175;132;"132";"Individuum förmlich in Grube hineingezwängt; Kopf nach links gedreht, Beine leicht angehockt";2;5;2;1
176;133;"136 DEF";"Leichenbrand auf 3 Portionen verteilt, alle zum selben Individuum gehöirg; Portionen allerdings dicht beinander, deshalb als Streuung angesprochen";3;9;2;1
178;134;;"2 kleine Leichenbrandfragmente, ohne Bestimmung";3;9;3;11
179;135;"177 D";"Etwa im Zentrum der Scherbenansammlung Leichenbrand ohne weitere Abdeckung, einige LB-Stücke auch verstreut; frühadultes Individuum";3;9;3;1
180;136;;"Keine Leichenbrandbestimmung; LB liegt im SW";3;9;2;7
181;137;"221";"Leichenbrand gehäuft im Zentrum, Individuum spätadult";3;9;2;1
182;138;"101 C";"Spätadultes Individuum";3;9;2;1
182;139;"101 D";"frühmatur";3;9;2;5
182;140;"101 A";"frühadult";3;9;2;5
182;141;"101 B";"spätadult";3;9;2;5
182;142;"101 G";"spätadult";3;9;2;4
182;143;"101 H-I";"frühadult, zusammen mit 101 H-II in Urne";3;9;2;4
182;144;"101 H-II";"frühadult; zusammen mit Ind. 101 H-I in Urne";3;9;2;4
182;145;"101 I";"frühadult";3;9;2;3
183;146;;"Leichenbrand verschollen";3;9;3;1
184;147;"54 D-I";"frühadult";3;9;2;1
184;148;"54 D-II";"frühadult";3;9;2;1
185;149;"234-I";"frühmatur";3;9;2;2
185;150;"234-II";;3;9;2;2
186;151;"251";;3;9;2;1
187;152;"278";;3;9;2;11
188;153;"281";"frühadult";3;9;3;11
189;154;;"Offenbar nicht bestimmt";3;9;3;11
190;155;"XIV";"frühadult";3;9;3;11
191;156;;"Keine Leichenbranduntersuchung";3;9;3;11
192;157;"1";"Leichenbrand; nicht anthropologisch untersucht";3;9;3;11
192;158;"2";"Körperbestattung, nicht anthropologisch untersucht";2;9;3;11
193;159;"2/I";"Leichenbrand";3;9;2;2
193;160;"2/II";"Leichenbrand";3;9;2;9
209;170;"Brandbestattung";"Etwas Leichenbrand eines wohl erwachsenen Individuums, nicht repräsentativ";3;9;3;8
210;171;"Brandbestattung";"Leichenbrand eines spätadulten oder älteren, eher weiblichen Individuum (repräsentativ)";3;9;2;1
211;172;"Grab 12";"Leichenbrand, über 1,8 m gestreut [taucht allerdings bei Wahl 2002 nicht auf]";3;1;3;1
212;173;"Brandbestattung";"Leichenbrandkonzentration im SO, wahrscheinlich von einem erwachsenen Individuum";3;9;3;5
213;174;"Körperbestattung";"Zahnschmelzreste und Schädelkalottenbruchstück";2;5;3;11
214;175;"Körperbestattung";"Nur Zahnschmelz erhalten, nach Sarglänge Kindergrab";2;13;3;11
215;176;"Körperbestattung";"Nur Zahnschmelz erhalten";2;13;3;11
216;177;"Körperbestattung";"Nur Zahnschmelz im S des Holzsarges erhalten";2;13;3;11
217;179;"Körperbestattung 1";"südwestliche Bestattung (""Mann""), nur geringe Knochenreste erhalten";2;4;3;7
217;180;"Körperbestattung 2";"sö Bestattung (""Frau""), nur geringe Knochenreste erhalten";2;4;3;5
218;181;"Körperbestattung";"Nur Zahnschmelzreste erhalten";2;17;3;11
219;182;"Körperbestattung";"Nur in geringen Resten erhaltene Körperbestattung [Ausrichtung wohl NW mit Tendenz nach NNW]";2;8;3;11
220;183;"Brandbestattung";"Leichenbrand eines 18-30jährigen, weiblichen Individuums; in O-Ecke relativ säuberlich ausgelesene Streuung (0,7 x 0,4 x 0,015), nw davon breiter Streifen mit Leichenbrand (nach Untersuchung wohl ein Individuum";3;8;1;4
225;188;"Körperbestattung";"Skelett [Erhaltung? angeblich W-O-orientiert (d. h. Kopf im W?]";2;9;3;11
244;209;"Körperbestattung";"Skelett [Erhaltung?], angeblich SSO-NNW orientiert";2;13;3;11
246;211;"Körperbestattung";"Skelett [Erhaltung?]";2;9;3;11
258;223;"Körperbestattung";"Wohl Skelett, nicht erhalten";2;9;4;11
266;231;"Brandbestattung";"Leichenbrand in Scheiterhaufenrückständen";3;9;2;11
271;236;"Körperbestattung";"Nur in geringen Resten erhaltenes Skelett; 20-40jährig, eher weiblich";2;4;3;11
275;240;"Grab 1";"Schlecht erhaltene Körperbestattung";2;14;2;11
276;241;"Grab 10";"Nur Zähne erhalten [Zürn schließt auf Körpergröße von 110-120 cm und darauf auf Jugendlichen; Schluß scheint mir aber zu gewagt, eher infans II]";2;13;3;11
277;242;"Körperbestattung";"schlecht erhaltene Körperbestattung, nach Körperlänge mindestens juvenil; offenbar befand sich linker Unterarm in Höhe der Schulter, zumindest fand sich dort ein Armring";2;4;2;1
278;243;"Körperbestattung";;2;9;3;11
279;244;"Individuum a";"Stark zerstörte Körperbestattung";2;9;3;11
279;1964;"Individuum b";"Stark gestörte Körperbestattung; Infans I? [dazu passen die kleinen Beinringen]";2;9;3;11
279;2112;"Individuum a/b";"Stark gestörte Körperbestattung";2;9;3;11
282;247;"Körperbestattung";"Reste einer Körperbestattung";2;9;3;11
283;248;"Körperbestattung";"Skelett nur vom Becken abwärts erhalten";2;4;2;11
284;249;"Körperbestattung";"Schlecht erhaltene Körperbestattung";2;15;3;11
285;251;"Skelett a";"Wahrscheinlich weiblich, 25-30jährig";2;15;1;2
285;252;"Skelett b";"Männlich, 16-20jährig";2;15;1;6
286;253;"Körperbestattung";"Körperbestattung, ca. 1,65 m groß";2;5;1;1
287;254;"Körperbestattung";"Nur Zähne erhalten";2;12;3;11
288;255;"Körperbestattung";"Nach Länge erwachsenes Individuum";2;11;2;1
290;257;"Körperbestattung";"Milchzähne";2;9;3;11
292;259;"Körperbestattung";"Skelett [Erhaltung?; angeblich Kopf im N]";2;9;3;11
293;260;"Körperbestattung";"Schlecht erhaltenes Skelett [angeblich Schädel im S]";2;9;3;11
294;261;"Körperbestattung";"Skelett [Erhaltung? angeblich S-N-orientiert]";2;9;3;11
298;267;"Körperbestattung";"Skelett [nach Länge mind. juvenil]";2;5;1;11
299;268;"Körperbestattung";"Skelett [nach Länge laut schematischem Plan mind. juvenil]";2;11;2;11
300;269;"Körperbestattung";"Skelett [nach Länge mind. juvenil], linker Arm rechtwinklig auf Becken liegend";2;5;1;1
301;270;"Körperbestattung";"Gut erhaltenes Skelett [nach Länge laut schematischem Plan mind. juvenil]";2;15;1;11
302;271;"Körperbestattung";"Skelett [nach Länge laut schematischem Plan mind. juvenil]";2;4;2;11
303;272;"Körperbestattung";"Gut erhaltenes Skelett [nach Länge laut schematischem Plan mind. juvenil]";2;14;1;11
304;273;"Körperbestattung";"Gut erhaltenes Skelett [nach Länge gemäß abstrahiertem Plan mind. juvenil]";2;13;1;11
305;274;"Körperbestattung";"Nur teilweise erhaltenes Skelett";2;13;3;11
306;275;"Körperbestattung";"Skelett, nur Beine in situ [nach deren Länge mind. juvenil]";2;13;3;11
317;288;"Körperbestattung";"Schlecht erhaltenes Skelett";2;14;3;11
322;293;"Brandbestattung";"Leichenbrandstreuung";3;9;3;8
340;314;"Brandbestattung";"Leichenbrand; 0-3jährig";3;9;3;11
341;315;"Brandbestattung";"Leichenbrand, 7-13jährig";3;9;3;11
342;316;"Brandbestattung";"Leichenbrnad; 20-40jährig, w?";3;9;2;6
343;317;"Brandbestattung";"Leichenbrand, über 70jährig, w?";3;9;1;5
344;318;"Brandbestattung";"Leichenbrand, nicht aufzufinden";3;9;3;11
345;319;"Brandbestattung";"Leichenbrand, 40-60jährig, w";3;9;2;1
346;320;"Brandbestattung";"Verstreuter Leichenbrand; 14-30jährig, w??";3;9;3;11
347;321;"Brandbestattung";"Leichenbrand, 14-20jährig";3;9;2;11
348;322;"Brandbestattung";"Leichenbrand; 20-40jährig, w?";3;9;3;1
349;323;"Brandbestattung";"Leichenbrand, 5-10jährig";3;9;3;11
350;324;"Brandbestattung";"Leichenbrand; 20-40jährig, m??";3;9;3;1
351;325;"Brandbestattung";"Leichenbrand, 40-50jährig, w";3;9;3;7
352;326;"Brandbestattung";"Leichenbrand, 0-1/2jährig";3;9;2;11
353;327;"Brandbestattung";"Leichenbrand, 20-40jährig, w?";3;9;3;5
354;328;"Brandbestattung";"Leichenbrand, erwachsen, m?";3;9;3;11
355;329;"Brandbestattung";"Leichenbrand; 40-60jährig";3;9;3;6
356;330;"Brandbestattung";"Leichenbrand, 40-60jährig, w?";3;9;3;1
357;331;"Brandbestattung";"Leichenbrand, 1-1/2jährig";3;9;2;8
358;332;"Brandbestattung";"Leichenbrand; 50-60jährig, m?";3;9;2;6
359;333;"Brandbestattung";"Leichenbrand, 50-70jährig, w";3;9;2;7
360;334;"Brandbestattung";"Leichenbrand, 20-40jährig, m";3;9;1;11
362;336;"Brandbestattung";"Leichenbrand, 40-60jährig, m";3;9;2;11
363;337;"Brandbestattung";"Leichenbrand, 8-13jährig";3;9;3;11
364;338;"Brandbestattung";"Leichenbrand, 5-10jährig";3;9;2;1
365;339;"Brandbestattung";"Leichenbrand, 2-5jährig";3;9;2;6
366;340;"Brandbestattung";"Leichenbrand, 20-40jährig, m";3;9;3;1
367;341;"Körperbestattung";"Schlecht erhaltenes Skelett, kindlich?";2;9;3;11
368;342;"Brandbestattung";"Leichenbrand; 40-60jährig, m?";3;9;3;7
369;343;"Brandbestattung";"Leichenbrand, 0-1/2jährig";3;9;3;11
370;344;"Körperbestattung";"Schlecht erhaltenes Skelett, teilweise unerkannt zerstört; 20-40jähriges Individuum, w; rechter Arm rechtwinklig über Bauch liegend (linker Arm zerstört) [Orientierung nach SSO mit Tendenz nach SO]";2;13;3;11
371;345;"Körperbestattung";"Schlecht erhaltenes Skelett, 4jährig";2;9;3;11
372;346;"Körperbestattung";"Mäßig erhaltenes Skelett,  Unterschenkeln übereinandergelegt, linker Humerus mit unvrheilter Hieb-/Schnittverletzung; 50-70jährig, m [Orientierung nach SSO mit starker Tendenz nach S]";2;13;2;11
373;347;"Körperbestattung";"Mäßig erhaltenes Skelett, 18-22jährig, m?";2;5;2;11
373;2518;"Brandbestattung";"Ausgelesener Leichenbrand, in 2 Häufchen und verstreut; 14-30jährig, w??";3;9;3;11
374;349;"Individuum 2";"Skelett";2;9;3;11
374;350;"Individuum 2";"Skelett";2;9;3;11
375;351;"Körperbestattung";"Schlecht erhaltenes Skelett, 30-50jährig, w";2;13;3;11
376;352;"Körperbestattung";"Zahnreste, 5-6jährig [genaue Ausrichtung unter Vorbehalt]";2;5;3;11
388;372;"Körperbestattung";"Wenige menschliche Skelettreste";2;9;3;11
390;374;"Körperbestattung";"Skelettreste [angeblich S-N-orientiert]";2;9;3;11
392;376;"Körperbestattung";"Gut erhaltenes Skelett [angeblich mit Schädel im S]";2;9;2;11
393;377;"Körperbestattung";"Schlecht erhaltenes Skelett [angeblich S-N-orientiert]";2;9;3;11
431;419;"Körperbestattung";"""Zartes Skelett"", angeblich kindlich [angeblich W-O-ausgerichtet]";2;9;3;11
449;438;"Körperberstattung";"Schädel; weiblich, um 30jährig";2;9;3;11
458;449;"Individuum 1";"Knochen eines weiblichen, adulten Individuums";2;9;3;11
458;450;"Individuum 2";"Skelett eines männlichen, maturen (bis senilen) Individuums";2;9;3;11
458;451;"Individuum 3";"Skelett [keine weiteren Angaben]";2;9;3;11
459;452;"Körperbestattung";"Skelettreste [Ausrichtung nach SO mit starker Tendenz nach SSO]";2;4;3;11
462;455;"Körperbestattung";"Wohl Skelett";2;9;3;11
463;456;"Körperbestattung";"Zahnschmelz- und Verfärbungsreste";2;3;3;11
464;457;"Körperbestattung";"Skelett";2;1;3;11
468;461;"Körperbestattung";"Geringe Reste eines Skeletts [nach Körperlänge wohl mind. juvenil]";2;14;3;11
469;462;"Körperbestattung";"Geringe Skelettreste";2;2;3;11
471;464;"Körperbestattung 1";"Paulus berichtet von Spuren von zwei Skeletten";2;9;4;11
471;2356;"Körperbestattung 2";"Paulus berichtet von Spuren von zwei Skeletten";2;9;4;11
473;466;"Körperbestattung";"""Vermodertes Skelett""";2;9;3;11
475;468;"Körperbestattung";"Gut erhaltenes Skelett, männlich, Mitte 50jährig; durch Beraubung allerdings gestört; am rechten Humerus und Tibia pathologische Veränderungen, am Schädel wohl überlebte Fraktur";2;9;1;11
476;469;"Körperbestattung";"Zahnreste";2;9;3;11
478;471;"Körperbestattung";"Geringe Skelettreste, wohl SW-ausgerichtet";2;6;3;11
480;473;"Körperbestattung";"Geringe Skelettreste";2;9;3;11
481;474;"Körperbestattung";"Geringe Skelettreste";2;5;2;11
482;475;"Körperbestattung";"Wohl vollkommen vergangene Körperbestattung";2;13;4;11
484;477;"Körperbestattung";"Geringe Skelettreste";2;9;3;11
485;478;"Körperbestattung";"Geringe Skelettreste [nach Dm. des Halsringes kindlich]";2;8;3;11
486;479;"Körperbestattung";"Geringe Skelettreste [Orientierung interpoliert]";2;14;3;11
487;480;"Körperbestattung";"Geringe Skelettreste";2;5;3;11
489;482;"Körperbestattung";"Skelettreste der Armknochen [genaue Orientierung unklar]";2;9;3;11
491;484;"30";"Skelett einer 30-40jährigen Frau (nach Wahl eher Ende 40), deren rechter Arm unter dem Oberkörper den linken Arm berührte (nach Wahl könnte dies auch durch Korrigierung der Lage des Skeletts passiert sein)";2;10;2;8
492;485;"Körperbestattung";"Stark gestörtes Skelett";2;9;3;11
500;493;"Körperbestattung";"Vergangenes Skelett";2;5;4;11
501;494;"Körperbestattung";"Skelettreste [nach Leichenschatten wohl mind. juvenil]";2;14;3;1
503;496;"Körperbestattung";"Skelett eines Kindes im Zahnwechsel, Hocker";2;9;3;11
505;498;"Körperbestattung";"Gut erhaltenes Skelett, das aber gestört wirkt; insofern Lage der Unterarme in Beckenregion nicht ganz gesichert [nach Länge wohl älter als infans II]";2;14;3;1
507;500;"Körperbestattung";"Skelett [Erhaltung?]";2;9;3;11
508;501;"Körperbestattung";"Skelett [Erhaltung?, angeblich S-N-ausgerichtet]";2;9;3;11
509;502;"Körperbestattung";"Skelett [Erhaltung?]";2;13;3;1
512;505;"Nebengrab 1";"Männlicher Toter Anfang 20, ca. 1,80 m groß, rechtes Bein angewinkelt (könnte aber auch auf die evtl. Grabberaubung zurückzuführen sein)";2;13;2;1
513;506;"Nebengrab 10";"Körperbestattung, Anfang 40";2;15;2;11
514;507;"Nebengrab 11";"Körperbestattung, männlich, um 60 Jahre alt";2;4;2;11
515;508;"Nebengrab 12";"Infans I";2;8;2;11
516;509;"Nebengrab 13";"Gut erhaltenes Skelett";2;4;1;1
517;510;"Nebengrab 14";"Eher weibliche Körperbestattung Anfang 20 Jahre [Zuweisung der anthroplogische Daten auf diese Bestattung etwas unklar in der Formulierung], mit leicht angezogenen Beinen";2;15;2;11
517;1664;"Nebengrab 15";"Eher männliche Körperbestattung18-20 Jahre [Zuweisung der anthroplogische Daten auf diese Bestattung etwas unklar in der Formulierung], mit leicht angezogenen Beinen";2;15;2;11
520;513;"Nebengrab 16";"Nur Unterkiefer";2;9;3;11
521;514;"Nebengrab 17";"Körperbestattung einer Frau, etwa Ende 20";2;4;2;1
521;1667;"Nebengrab 18";"Körperbestattung eines Kindes, nach Beigaben wohl weiblich";2;4;2;7
524;517;"Nebengrab 19";"Wohl männlicher Erwachsener";2;9;3;11
525;518;"Nebengrab 2";"Körperbestattung, matur, weiblich?";2;4;2;11
