"Fundplatz";"Grabkomplexnummer";"Grabkomplexbezeichnung";"Grabkomplexbeschreibung";"Grabkomplexerhaltung";"Hügeleinbauten";"Grabstele";"Hügelerweiterung";"Einfachgrablage"
11;42;"Grab 57";"Unrgelmäßige, eher rechteckige Steinpackung (6 x 6 m) mit einfachem Steinkreis aus Geröll und kleineren Kalkplatten; Hügelschüttung ist nicht nachgewiesen; Steinpackung im zentralen Bereich abgesunken; Keramikscherben in Steinpackung";1;0;0;0;
11;43;"Grab 60";"Quadratische Anordnung senkrecht gestellter plattiger Kalksteine; Decksteine lagen nur in Westhälfte; beim Abbau traten verstreut Scherben + Holzkohlepartikel auf; weder Knochen noch Leichenbrand vorhanden; Befund wirkte gestört bzw. beraubt [N. K. auf S.";3;0;0;0;
11;44;"Grab 64";"Rechteckige Steinpackung(4 x 4 m)  mit einfachem Steinkreis; Hügelschüttung nicht nachgewiesen; z. T. deutliche Störungen";3;0;0;0;
11;46;"Grab 65";"Rundliche Steinpackung (6-6,5 m), keine Hügelschüttung; Packung im S von einfachem Steinkreis, im N von breitem Steinpflaster umgeben; Innendurchmesser des Steinkreises 11,5-12m; Steinpflaster bis 5,5 m breit + aus innerem + äußerem Steinkreis bestehend; ";2;0;0;0;
11;47;"Grab 66";"Steinpackung mit annähernd geraden Seiten (6 x 5,5 m) + einfachem Steinkreis mit Durchmesser von 18 m; an N-Seite rampenartiger Vorbau, w davon außergewöhnlich großer Kalkstein senkrecht in Steinpackung; randliche Steinpackung + Grabkammerbereich deutlich";1;0;1;1;
11;48;"Grab 67";"Annähernd rechteckige Steinpackung (2,8 x 2,5 m) mit breitem, unregelmäßigem Steinkreis; Hügelschüttung nicht nachgewiesen; vom Ausgräber Gerölllage des Steinkreises als Trockenmauer gedeutet; in einlagiger Steinpackung durchlochter Wetzstein + tordierte ";2;0;0;0;
11;49;"Grab 68";"Annähernd rechteckige Steinpackung (ca. 6,8 x 6,5 m) mit 2 Steinkreisen; Hügelschüttung nicht nachgewiesen;; innere Steinkreis mit Dm. von 12-13 m, bestehend aus z. T. sehr großen Kalksteinen, davon einige nach außen verkippt; äußere Steinpflasterung mit ";1;0;0;0;
11;50;"Grab 69";"Annähernd rechteckige Steinpackung (5,5 x 5,3 m) mit einfachem Steinkreis aus Geröll (Dm. 10 m); Hügelschüttung nicht nachgewiesen; Zentrum der Steinpackung weitgehend steinfrei; in w Packungshälfte mehrere Kalksteine mit Brandspuren";2;0;0;0;
11;51;"Grab 70";"Markierungsstein + Steinkreis am sw Rand von Grab 67";2;0;1;0;"2"
11;52;"Grab 71";"Flache Steinpackung unregelmäßiger Form (ca. 5 x 5,5 m) mit einfachem Steinkreis, der große Lücke im N aufwies, ohne daß Standspuren gefunden worden wären; innerhalb der Steinpackung auch gebrannte Kalksteine verbaut; noch erhaltene Höhe der zweilagigen S";2;0;0;0;
11;53;"Grab 72";"Verfärbung mit aufrechtem Kalkstein an Steinkreisinnenseite von Grab 69";3;0;1;0;"2"
11;54;"Grab 73";"Annähernd rechteckige Steinpackung (7 x 6,5 m) mit einfachem Steinkreis; sandige Schicht evtl. Reste einer Hügelschüttung; Steinkreis aus Kalkgeröllen; senkrecht stehende Steine begrenzten Areal im Steinpackungszentrum; im N evtl. Beraubungsversuch; am W ";2;0;1;0;
11;55;"Grab 74";"Kein erkennbarer Steinschutz oder sonstiger Grabbau; zwischen Steinpackung + Steinkreis von Grab 51 [evtl. Eintiefung in vorhandenen Grabhügel?]";4;0;0;0;
11;56;"Grab 75";"Brandgrab unterhalb der Steinpflasterung von Grab 65";4;0;0;0;
11;57;"Grab 76";"Brandgrab unterhalb der Steinpflasterung von Grab 68, vermutlich älter als diese; am O-Rand der Verfärbung großer, leicht schräg stehender Kalkstein";2;0;1;0;
11;58;"Grab 77";"Brandgrab randlich unterhalb der breiten Steinpflasterung von Grab 68 mit großem aufrechten Kalkstein";3;0;1;0;
11;59;"Grab 78";"Brandgrab unterhalb der Steinpflasterung von Grab 68, gestört durch Grab 79; evtl. letzteres auch Teil von Grab 78";4;0;0;0;
11;60;"Grab 79";"Brandgrab unterhalb der Steinpflasterung von Grab 68 im Zentrum der als Grab 78 angesprochenen Verfärbung; evtl. Grab 79 auch Bestandteil von Grab 78";4;0;0;0;
11;61;"Grab 80";"Annähernd rundliche Steinpackung (6 x 6,5 m) ohne Steinkreis; Hügelschüttung nicht nachgewiesen; insgesamt stark gestört wirkend";3;0;0;0;
11;62;"Grab 81";"Flache einlagige Steinpackung (ca. 3 x 2,5 m) ohne Steinkreis; wohl stark gestört, da im Zentrum Steine fehlen + Knochen und Scherben z. T. weit außerhalb der Steinpackung liegen";3;0;0;0;
11;63;"Grab 82";"Brandgrab zwischen den Steinkreisen der Gräber 52, 66, 73";4;0;0;0;
11;64;"Grab 83";"Brandgrab zwsichen den Steinkreisen der Gräber 73, 26, 35, 52";4;0;0;0;
11;65;"Grab 84";"Am äußeren Rand der Südecke der Steinpackung von Grab 33, wohl gestört";4;0;0;0;"1"
11;67;"Grab 4";"Am östlichen Rand der Steinpackung von Grab 3 gelegene Kinderkörperbestattung";4;0;0;0;"1"
11;68;"Grab 5";"Brandgrube";4;0;0;0;
11;69;"Grab 6/17";"Brandgrube zwischen innerem + äußerem Steinkranz von Grab 3";4;0;0;0;
11;70;"Grab 7";"Halb unterhalb vom äußeren Steinkreis von Grab 1 eingegrabene Urne";4;0;0;0;
11;71;"Grab 9/19";"Brandgrube mit unklarem Befund ö von Grab 3 zwischen Steinpackung + zugehörigem Steinkreis";4;0;0;0;
11;72;"Grab 8";"Brandgrube, unklarer Befund";4;0;0;0;
11;73;"Grab 8a";"Kinderkörperbestattung; evtl. Grab 8 dazugehörig";4;0;0;0;
11;74;"Grab 10";"Brandgrube am äußeren Rand des äußeren Steinkreises von Grab 3";4;0;0;0;"2"
11;75;"Grab 10a";"Mit Leichenbrand gefülltes Gefäß";4;0;0;0;"2"
11;76;"Grab 11";"Brandgrube bei Grab 3";4;0;0;0;"2"
11;77;"Grab 14";"Brandgrab s des äußeren Steinkreisrandes von Grab 3";4;0;0;0;"3"
11;78;"Grab 16";"Brandgrube unter äußerem Steinkreis von Grab 3, östlich von Grab 6 und nördlich von Grab 10";4;0;0;0;"2"
11;79;"Grab 18";"Brandbestattung unter äußerem Steinkreis von Grab 3, in Verfärbung schräg großer Kalkstein";2;0;1;0;
11;80;"Grab 20";"Brandbestattung, überlagert von randlichen Steinen der Steinpackung von Grab 2; am N-Rand der Grube aufrechter Kalkstein";2;0;1;0;"2"
11;81;"Grab 21";"Praktisch nicht dokumentierter Befund";4;0;0;0;"3"
11;82;"Grab 39";"Brandgrube s von Grab 27";4;0;0;0;"3"
11;83;"Grab 40";"Nicht dokumentiertes Grab zwischen den Gräbern 38, 52, 35";3;0;0;0;"3"
11;84;"Grab 41";"Brandgrube zwischen Gräbern 38, 52, 71, überdeckt vom Steinkreis des Grabes 38";4;0;0;0;"2"
11;85;"Grab 42";"Brandbestattung w von Grab 38 im Zentrum eines lückenhaften Steinkreises, im Zentrum auch aufrechter Kalkstein";3;0;1;0;"3"
11;86;"Grab 43";"Schlecht dokumentierte Brandbestattung";4;0;0;0;"3"
11;87;"Grab 44";"Urnengrab mit umgebendem Steinkreis, von Steinkreis zu Grab 33 überlagert [wieso in Abb. 32 dann als jünger eingetragen?]";3;0;0;0;
11;88;"Grab 45";"Urnengrab im Zentrum von ovalem Steinkreis; in Verfärbung aufrechter Stein; im Osten Überlagerung des Steinkreises durch randliche Steine des Steinkranzes von Grab 33";2;0;1;0;"3"
11;89;"Grab 47";"Brandbestattung w von Grab 30";4;0;0;0;"3"
11;90;"Grab 48";"Brandbestattung mit großem Kalkstein im Zentrum";2;0;1;0;"3"
11;91;"Grab 50";"Komplizierter Befund einer Brandbestattung zwischen Gräbern 30 + 32";4;0;0;0;"3"
11;92;"Grab 56";"Brandbestattung unter den Steinen am nördlichen Rand der Steinpackung von Grab 52 im Bereich einer Störung [Beziehung zu Steinpackung von Grab 52 unklar];";4;0;0;0;"2"
11;93;"Grab 58";"Grab zwischen Steinpackung und Steinkreis am Ostrand von Grab 54";4;0;0;0;"2"
11;94;"Grab 59";"Brandbestattung mit zentralem aufrechtem Kalkstein direkt neben Steinkreis von Grab 64";2;0;1;0;"2"
11;95;"Grab 61";"Flache einlagige Steinpackung; im mittleren Bereich fehlten Steine; Steine lagen unmittelbar auf grau-gelbem Sand";3;0;0;0;
11;96;"Grab 62";"Brandbestattung n von Grab 22, im Zentrum großer Kalkstein";2;0;1;0;"3"
11;97;"Grab 63";"Brandbestattung mit ovalem Steinkreis aus plattigen, meist senkrecht stehenden Kalksteinen; etwas östlich des Zentrums auffällig großer Kalkstein; im Zentrum einige größere Gerölle [Reste einer Steinabdeckung?]";3;0;1;0;"3"
11;2009;"Hügel 1 (1912)";"Hügel mit bis unter die Grasnarbe reichender Steinpackung; auf der Hügelsohle 2 Skelette in S-N-Ausrichtung, dabei aber auch angeblich Leichenbrand [Dokumentation offensichtlich nicht verwendbar]";3;0;0;0;
11;2010;"Hügel 2 (1912)";"Hügel mit Steinpackung [Dokumentation offensichtlich nicht verwendbar]";3;0;0;0;
13;1211;"Hügel 1929";"Hügel, darin Steinkreis von 9-10 m Dm. und 0,6 m H.; Ausgrabung 1929";3;0;0;0;
16;3137;"Hügel 1935";"Hügel, nur noch als flache Bodenwelle erkennbar";3;0;0;0;
17;2838;"Hügel 9";"Verflachter Hügel mit Steinkranz; sw und ö außerhalb des Steinkranzes wenig eingetiefte Brandgrubengräber";3;0;0;0;
17;2908;"Hügel 8";"Vollkommen zerstörter Hügel, Holzkohle- und Leichenbrandreste deuten auf Brandbestattung";3;0;0;0;
17;2909;"Hügel 9 - sw Brandgrab";"Wenig eingetieftes Brandgrab, 1 m sw des Steinkreises von Hügel 9";4;0;0;0;"2"
17;2910;"Hügel 9 - ö Brandgrab";"Wenig eingetieftes Brandgrab, ö des Steinkreises von Hügel 9";4;0;0;0;"2"
17;2911;"Hügel 11";"Schlecht erhaltener Hügel, bereits alt gegraben";3;0;0;0;
17;2912;"Hügel 11 - Brandgrab";"Brandgrab, s außerhalb von Hügel 11";4;0;0;0;
17;2913;"Hügel 10";"Stark zerstörter Hügel, alt gegraben";3;0;0;0;
17;2914;"Hügel 22";"Völlig verebneter Hügel";3;0;0;0;
17;2915;"Hügel 12";"Stark gestörter Hügel, alt angetrichtert; in Trichter Knochen eines 20-30jährigen Individuums (wohl Körpernachbestattung); w des Hügels kleine Grube mit Holzkohle, aber ohne Leichenbrand [von Ausgräber als Brandrest a la Stroh gedeutet; könnte auch Kinder";3;0;0;0;
17;2916;"Brandgrubengrab 1987";"Brandgrubengrab, 5 m nw von Hügel 14";4;0;0;0;"3"
17;2917;"Hügel 24";"Vollkommen verflachter Hügel, antik beraubt; im SO-Bereich runde Grube mit Holzkohleverfüllung und Scherben [Brandgrab?]";3;0;0;0;
17;2918;"Hügel 23";"Vollkommen verflachter Hügel";3;0;0;0;
17;2919;"Brandgrab w Hügel 23";"Wohl ehemals überhügeltes, eingetieftes Brandgrab";3;0;0;0;
17;2920;"Hügel 14";"Hügel, nicht ausgegraben";3;0;0;0;
17;2921;"Hügel 21 - n Brandgrab";"Brandgrubengrab, am nnö Rand des Hügels 21; nahebei zerstörtes weiteres Brandgrab";4;0;0;0;"2"
19;2972;"'Heidenbühl'";"Hügel, mit 18 kreisförmig angelegten Nachbestattungen";3;0;0;0;
24;1373;"Hohmichele";"Großer Hügel mit mehreren Holzkammerbestattungen, einige Gräber auf Oberfläche angelegt und dann überschüttet; die Aufschüttung erfolgte demnach in mehreren Etappen, entsprechende Schichten sind im Profil deutlich; auf verschiedenen Höhen Stangensetzungen";1;0;0;1;
24;2710;"Hügel 17";"Hügel, offensichtlich ohne Abgrenzung des Hügelfußes; Hügel in mehreren Phasen errichtet. währenddessen offensichtlich verschiedene Aktivitäten durchgeführt (Holzkohle- und Scherbennester); äußerer Mantel relativ homogen, innerer sehr variabel mit vielen ";1;0;0;0;
24;2922;"Hügel 18";"Mäßig erhaltener Hügel (erhaltene H. 1,55-1,6 m); Hügelschüttung wesentlich homogener als bei Hügel 17, wohl wegen schlechterer Erhaltung, aber auch hier Holzkohle- und Scherbennester, die von Aktivitäten auf Hügeloberfläche hindeuten; Nachbestattungen üb";2;0;0;0;
59;2986;"Hügel 1933";"Hügel (Dm. 30-50 m); Ausgrabung offensichtlich nur des Zentrums 1933; im Zentrum nach O offenener ""Schlackenring"" von 9 m Dm. und 0,3 m H.; darunter liegt nach Kurz Aushub des Zentralgrabes; neben sicheren Gräbern im Zentrum und im ONO weitere Steinsetzun";3;0;0;0;
60;2111;"Hügel 1906";"Hügel von 14 m Dm.; im Hügel auf dem gewachsenen Boden Steinkreis von ca. 7 m Dm.; auf der Steinpackung (2 x 2 m) Körperbestattung [sicherlich Nachbestattung; von zu erwartender Erstbestattung in der Steinpackung wird aber nichts berichtet]";3;0;0;1;
63;2617;"Hügel A";"Hügel mit reicher Bestattung im Hügelzentrum (u. a. Schwert, Pferdegeschirr, Bronzegeschirr)";3;0;0;0;
63;2618;"Hügel B";"Hügel, mit frühalatènezeitlichen Nachbestattungen";3;0;0;0;
63;2619;"Hügel C";"Hügel, mit einer großen Brandstätte in den oberen Schichten";3;0;0;0;
63;2620;"Hügel D";"Hügel mit frühlatènezeitlichen Nachbestattungen; darunter ""Grabasche""";3;0;0;0;
63;2621;"Hügel E";"Hügel mit Körperbestattung in 1,5 m T.";3;0;0;0;
63;2622;"Hügel F";"Hügel mit Körperbestattung in 1,4 m T., wohl auch frühlatènezeitliche Nachbestattung";3;0;0;0;
63;2623;"Hügel G";"Hügel mit wohl Körperbestattung in 1 m T.";3;0;0;0;
63;2624;"Hügel H";"Hügel mit Körperbestattung";3;0;0;0;
63;2625;"Hügel K";"Hügel mit Körperbestattung";3;0;0;0;
63;2626;"Hügel L";"Hügel mit Körperbestattungen auf dem gewachsenen Boden und 2 Steinreihen [evtl. Reste eines Steinkreises]; außerdem frühlatènezeitliche Nachbestattung";3;0;0;0;
63;2627;"Hügel M";"Hügel mit Bestattung";3;0;0;0;
63;2628;"Hügel Q";"Hügel mit Körperbestattung";3;0;0;0;
66;2985;"Hügel 13";"Hügel; Grabung 1939 [vollständig?]";3;0;0;0;
84;2806;"Urnengrab";"Eingetieftes Brandgrab, 3,5 sw des Kreisgrabens; Steinansammlung nahebei evtl. dazugehörig";4;0;0;0;"2"
106;2468;"Grabhügel 1";"""Grabhügel gestört durch eine alte Plünderung und moderne Eingriffe. Die nahezu steinlose Hügelaufschüttung war unmittelbar auf der ehemaligen Bodenoberfläche, einer über dem anstehenden Kies lagernden, blauschwarzen Aulehmschicht angehäuft worden; sie üb";2;0;0;0;
106;2469;"Grabhügel 2";"""Zerstörter und extrem verflachter Grabhügel ... Ursprünglicher Dm. 5,7 m, ausgewiesen durch einen den Hügelfuß umziehenden, 30 cm breiten und 40 cm unter die alte Bodenoberfläche bis in den Kies reichenden Kreisgraben. Hügelaufschüttung bis in 30 cm Tief";3;0;0;0;
106;2470;"Grabhügel 3";"Hügel ""aus steinfreier, wenige cm starker Erdschicht mit 25 cm mächtiger Humusüberdeckung"", auf alter Oberfläche errichtet, durch Pflug verzogen; Zentralgrab antik beraubt";3;0;0;0;
106;2471;"Grabhügel 4";"Verackerter Hügel, mit Kreisgraben (B. 0,3 m), mit Spuren einer Beraubung";3;0;0;0;
106;2472;"Grabhügel 5";"Stark verflachter und gestörter Hügel mit Spuren antiker Beraubung, ohne Kreisgraben";3;0;0;0;
106;2473;"Grabhügel 6";"Hügel, praktisch vollkommen zerstört; ""Weitgehend intakt hingegen blieb der den Hügelfuß umziehende ... Steinkranz aus z. T. hochkant gestellten Tuffsteinplatten; einzelne Steinbrocken bis zu 1,4 m lang und 40 cm stark. Am S-Rand zwei hintereinander geleg";3;0;0;0;
106;2474;"Grabhügel 7";"Hügel; Ausgrabung 1888, Nachuntersuchung 1961; neben moderner Grabung wohl auch antike Beraubung";3;0;0;0;
106;2475;"Grabhügel 8";"Hügel aus im unteren 0,6 m mächtigen Teil ""dunkelbraunem, stark verschlicktem Erdreich, in den oberen, 40 cm mächtigen Schichten aus lehmgelbem, weniger stark verschlicktem Material.""";2;0;0;0;
116;2923;"Hügel 1958";"Hügel, im Zentrum römerzeitliche Nachbestattung; 1958 untersucht (nur Zentrum)";3;0;0;0;
125;3023;"'Bernetbuck'";"Stark verschleifter Hügel (Dm. vor Ausgrabung 45 x 36 m; H. 1 m; 20 m ursprünglicher Dm.); Zentralgrab wurde bei Anlage von Grab 16 wohl komplett zerstört; angeblich Hügel vor 1930 von Steinstele bekrönt; angeblich HaC-LtA-Funde; Ausgrabungen 1816, 1893, ";3;0;1;0;
128;2925;"Hügel 1980";"Fast vollkommen verebneter Hügel, mit Zentral- und wohl nicht tangential angelegten Nachbestattungen; 2 beigabenlose, O-W-orientierte Gräber angeblich frühmittelalterlich";3;0;0;0;
133;2609;"Hügel 1";"Hügel mit mehreren Körperbestattungen";3;0;0;0;
133;2610;"Hügel 2";"Hügel mit Steinsetzung und einem 1 m breitem Kranz kleinerer Steine (Abstand von Mitte 3,1-3,8 m)";3;0;0;0;
133;2611;"Hügel 3";"Hügel mit Steinkreis in 2-2,4 m Abstand von Mitte, 1,2 m breit, aus kleineren Steinen; im Zentrum des Hügel größere Fläche dunkleren Bodens mit Kohlenstückchen";3;0;0;0;
133;2612;"Hügel 4";"Hügel (Dm. 15-16 m) mit Resten eines Steinkreises am Hügelrand und 0,3-0,4 m starken Steinpackung im Hügelzentrum; auf gewachsenem Boden Körperbestattung mit u. a. Eisenschwert";3;0;0;0;
134;2115;"Hügel 1894";"Hügel mit Steinsetzung, darin Körperbestattung";3;0;0;0;
135;2114;"Hügel 1895";"Hügel, mit Steinsetzung";3;0;0;0;
136;2116;"Hügel 1894";"Hügel (Dm. 17-18 m) mit Steinsetzungen und Körperbestattungen";3;0;0;0;
140;98;"Grab 30";"Wohl Körperflachgrab im SO des bisher ausgegrabenen Gräberfeldareals";4;0;0;0;"3"
140;99;"Grab 32";"Schlecht erhaltener, ovaler Graben (8 x 6,5 m) umgab vermutlich Leichenbrandkammergrab Grab 32 (und Grab 33)";3;0;0;0;
140;100;"Grab 33";"Schlecht erhaltener, ovaler Graben (8 x 6,5 m) umgab vermutlich Brandgrab 33 (und Leichenbrandkammergrab Grab 32)";3;0;0;0;"1"
140;101;"Grab 37";"Sehr schlecht erhaltenes Brandgrab";4;0;0;0;
140;102;"Grab 47";"Brandgrab";4;0;0;0;
140;103;"Grab 50";"Brandgrab";4;0;0;0;
140;104;"Grab 71";"Brandgrab";4;0;0;0;
140;105;"Grab 75";"Sehr schlecht erhaltenes Brandgrab";4;0;0;0;
140;106;"Grab 85";"Sehr schlecht erhaltenes Brandgrab";4;0;0;0;
140;107;"Grab 91";"Brandgrab";4;0;0;0;
140;108;"Grab 93";"Brandschüttungsgrab";4;0;0;0;
140;109;"Grab 99";"Urnengrab";4;0;0;0;
140;110;"Grab 142";"Schlecht erhaltenes Brandschüttungsgrab";4;0;0;0;
140;111;"Grab 148";"Reste eines stark zerpflügten Brandgrabes";4;0;0;0;
140;112;"Grab XIV";"Angepflügtes, notgeborgenes Grab";4;0;0;0;
140;113;"Grab XVII";"Angepflügtes Urnengrab";4;0;0;0;
140;2674;"Grab 267";"Körperbestattung, wohl ehemals überhügelt";3;0;0;0;
140;2675;"Grab 269";"Körperbestattung innerhalb eines Kreisgrabens";5;0;0;0;
141;115;"Grab 1";"Schlecht dokumentiertes + erhaltenes Grab mit Steinpackung";4;0;0;0;
141;116;"Grab 2";"Bei Planierungsarbeiten Entdeckung der knapp unter Ackeroberfläche liegenden Steinpackung, die aber vermutlich nicht vollständig erfaßt wurde; Steinkreis zur Hälfte untersucht, im S + W noch teilweise zusammenhängend erhalten, bestand aus großen, einreihi";3;0;0;0;
141;1391;"Grab 3";"Schlecht erhaltenes Grab mit Steinpackung; evtl. nicht vollständig aufgedeckt";3;0;0;0;
