"Grabkomplex";"Grabnummer";"Grabbezeichnung";"Grabbeschreibung";"Grabcharakter";"Graberhaltung";"Grabausrichung";"Grabniveau";"Grubenlänge";"Grubenbreite";"Grubentiefe";"Grabkammer";"Grabkammerlänge";"Grabkammerbreite";"Mehrfachbestattung";"Grabberaubung";"Verziegelung des Bodens";""Brandschicht"";"Holzwände";"Holzdecke";"Holzboden";"Steinwände";"Steindecke";"Steinboden";"Steinpackungsdurchmesser";"Besonderheiten";"Arch_Geschlechtsbestimmung"
22;95;"23/II";"Tatsächliche Ausdehnung der Kammer ließ sich nicht feststellen [nach Reihung der Gefäße aber zu interpolieren, ebenso wie Grabausrichtung]; Keramik hauptsächlich im O aufgereiht";"2";2;13;3;;;0,00;2;;3,00;0;0;0;0;0;0;0;0;1;0;4,50;0;3
23;96;"24";"Leicht trapezförmige Grabkammer, Bestattung + Beigaben wirkten gestört, Teile des Oberkörpers nach Osten verlagert";"2";2;5;3;;;0,00;1;4,50;4,50;0;1;0;0;0;0;0;0;1;0;8,75;0;0
24;97;"Grabkammer";"Kammerbereich seitlich deutlich begrenzt; am Ostrand der Kammer Verfärbungszone einer ehemaligen Holzlage [hölzerne Kammer? Darauf deutet auch Verdrückung der Radreifen, die von oben erfolgte, evtl. beim Einbruch der Kammer?]; Körperbestattung zwischen 4 ";"2";1;13;3;;;0,00;1;5,10;4,50;0;0;0;0;1;0;0;0;1;0;7,75;0;1
25;98;"27";"Zwischen Knochen des erwachsenen Individuums noch wenige Knochen eines Kindes; 20 cm südöstl. von Oberarm ca. 10 X 10 cm großer Brandfleck; Grabkammergrenzen zeichneten sich sehr deutlich ab; Aussparrungen im N könnten auf Blockbau hindeuten; Keramik komp";"2";2;5;3;;;0,00;1;3,30;2,90;1;0;0;0;0;0;0;0;1;0;4,50;0;4
26;99;"28/I";"Beim Freiputzen der Steinpackung erschienen im Zentrum mehrere Keramikscherben + Knochen, wurden aber zerstört, Kontext deshalb unklar";"3";4;9;1;;;;4;;;1;0;0;0;0;0;0;0;0;0;;0;4
26;100;"28/II";"Im W Kammergrenze gut zu erkennen; im SW Aussparrung, evtl. von Holzeinbauten; in w Hälfte Leichenbrandauslegung; weiterer Leichenbrand in s-Gefäß; Keramik hauptsächlich im O";"2";2;13;3;;;0,00;1;2,80;2,60;0;0;0;0;0;0;0;1;1;0;4,90;1;3
27;102;"Grabkammer";"Gut erhaltene Grabkammer; Aussparrungen in den Ecken könnten auf Blockbauweise hindeuten; Tierknochen auf Bestattung deponiert; dafür fehlen Becken, Brustkorb, Wirbelsäule und Oberarme vollständig; im Halsbereich zwei sich kreuzende Bronzenadeln";"2";1;13;3;;;0,00;1;5,50;5,50;0;1;0;0;0;0;0;1;1;0;7,50;0;1
28;105;"30/I";"Beim Putzen der Steinpackung kamen diverse Funde zum Vorschein, darunter Fußwurzelknochen; eigentliches Grab nicht entdeckt, deshalb auch Zusammengehörigkeit der heterogenen Funde unklar";"3";4;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
28;109;"30/II";"Körperbestattung lag innerhalb einer N-S-ausgerichteten, mittelgrauen fleckigen Verfärbung, die sich nicht in Tiefe fortsetzte [?!]";"2";1;4;3;;;0,00;1;4,10;3,20;0;0;0;0;0;0;0;0;1;0;8,00;0;1
29;112;"Grabkammer";"Einsinken der Steindecke deutet auf vergängliches Baumaterial; Bestattung ungestört, aber stark zerdrückt [Kammergrenzen ließen sich nur sehr ungefähr feststellen]; zahlreiche Keramikgefäße an O-Wand, Skelett mit rechtwinklig angewinkeltem Arm im W; im S ";"2";2;13;3;;;0,00;2;;4,00;0;0;0;0;0;0;0;1;1;0;6,50;0;1
30;114;"Grabkammer";"Grabkammergrenze gut zu erkennen; Steindecke teilweise eingesunken; auch Aussparrungen (in Dokumentation kaum zu erkennen) deuten auf Holzkammer; Keramik im O, ein Gefäß im S";"2";1;13;3;;;0,00;1;5,00;4,20;0;0;0;0;0;0;0;1;1;0;8,50;0;1
31;118;"33";"Grabkammer zeichnete sich deutlich ab, doch Grenzen waren nur schwer festzustellen, da Steinpackung abgesunken; Steinlücken in Kammerecken könnten auf Blockbauweise hindeuten; die beiden Bestattungen lagen mit einem Abstand von 0,2-0,5 m schräg nebeneinan";"2";2;13;3;;;0,00;1;3,00;3,00;1;0;0;0;0;0;0;1;1;0;6,50;0;4
32;120;"Grabkammer";"Kammerseiten gut sichtbar; Steine der unteren Lagen deutlich größer; Lücken in Kammerecken + Reste von Hölzern an Kammerwand deuten auf hölzerne Kammerkonstruktion in Blockbauweise; neben Skelett Verfärbung mit Konzentrationen von inkohlten Partikeln; ein";"2";1;13;3;;;0,00;1;4,80;4,40;0;0;0;0;1;0;0;0;1;0;6,75;1;1
33;121;"36";"Keine Kammergrenzen erkennbar; wohl Körperbestattung durch spätere Brandbestattungen gestört; Befund aber unklar; im Norden der Kammer über Niveau des Bestattungshorizontes 2,5 m lange + 1,5 m breite Brandschüttung mit 8 cm Mächtigkeit; setzte sich nach N";"2";3;9;3;;;0,00;4;;;1;0;0;0;0;0;0;0;1;0;6,00;0;4
34;122;"37";"Komplizierte Situation: eindeutige Kammergrenzen nicht zu entdecken; Boden mit menschlichen Skelettteilen bedeckt; 5 Individuen, 1 gut erhalten, 1 weniger gut, 3 stark gestört; F. N. (S. 29-31) geht von evtl. 2 bis 3 nachträglichen Belegungen aus, gleichz";"2";3;9;3;;;0,00;2;;;1;0;0;0;0;0;0;0;1;0;4,00;0;4
35;123;"38";"Kammerbegrenzung nicht deutlich zu erkennen; an O-seite Konzentration (2,0 x 0,65/0,45 m) von inkohltem Holz, bis zu 7 cm mächtig [nach Kurz könnte das auf tatsächlich verkohltes Holz hindeuten]; deutlich einzelne Bohlen-/Balkenlagen zu erkennen; von grau";"2";3;9;3;;;0,00;2;;;1;0;0;0;0;0;0;0;1;0;6,50;0;4
36;131;"46";"Sehr gut erhaltene Kammer, Aussparrungen in Ecken könnten auf Holzkonstruktion hindeuten; Kammer nicht genau N-S ausgerichtet; Keramik im O, im NW + W";"2";1;4;3;;;0,00;1;4,00;3,80;0;0;0;0;0;0;0;1;1;0;5,75;1;0
37;136;"51/I";"Keine Grabgrenzen erkennbar; mehrere Individuen durcheinandergemischt; Langnochen teilweise noch in situ, W-O-ausgerichtet, mit Schädel im Osten [aber unklar, welches Individuum]; zwei Bronzegegenstände gehören wohl zu älterem Grab";"3";3;9;1;;;;3;;;1;0;0;0;0;0;0;0;0;0;;0;4
37;137;"51/II";"Keine Grab- oder Kammergrenzen nachgewiesen; Individuum 2 lag verlagert 0,7 m westlich von ungestörtem Individuum 1 [spricht doch sehr für Kammer]; Beigaben lassen sich nur auf Individuum 1 beziehen; Ind. 2 kam bereits kurz nach Abdecken ersten Grabes zum";"2";3;9;3;;;0,00;4;;;1;0;0;0;0;0;0;0;1;0;2,75;0;4
38;138;"52";"Leicht trapezförmige, deutlich erkennbare Grabkammer; in N Brandschüttung (0,5X0,4X0,09); am NW-Rand der Kammer schwarz-graue Verfärbung mit Holzkohle + geglühter Keramik, die sich unter Steinpackung nach N zog; evtl. Zusammenhang mit Grab 56, aber ungekl";"2";2;13;3;;;0,00;1;3,50;3,30;0;0;0;1;0;0;0;0;1;0;6,00;0;0
39;139;"53";"Kammergrenzen zeichneten sich nur undeutlich ab; Kammerboden großflächig mit Brandschüttungsflecken unterschiedlicher Größe bedeckt;in Kammermitte 0,4X1m große, annähernd rechteckige dunkelgrau gefärbte, holzkohlehaltige Fläche; Leichenbrand im gesamten K";"2";2;5;3;;;0,00;2;4,00;3,70;0;0;0;1;0;0;0;0;1;0;7,00;0;0
40;140;"54";"Kammergrenzen durch verkohlte Hölzer, wohl Reste der Kammer, klar zu erkennen [verkohlt oder inkohlt?]; im Kammerinneren 2 schwarze Verfärbungsbereiche, die bis unter Steinpackung reichten; in südöstlicher Verfärbungszone Leichenbrand, Keramikscherben + a";"2";1;13;3;;;0,00;1;3,70;3,30;0;0;0;1;1;0;0;0;1;0;6,75;0;3
41;141;"55";"Kammergrenzen nur grob erfaßbar; im W graue mit kleinformatigem Kalkbruch durchsetzte Verfärbung (2,1x0,7m) in N-S-Ausrichtung, innerhalb derer Körperbestattungsreste ruhten";"2";2;13;3;;;0,00;2;3,40;2,70;0;0;0;0;0;0;0;0;1;0;5,00;0;0
42;143;"57";"Kammergrenzen hinreichend gut zu erkennen; Skelett im W, Keramik im O; einzelnes Gefäß im SO mit Tierknochen";"2";2;13;3;;;0,00;1;3,50;3,30;0;0;0;0;0;0;0;0;1;0;6,00;0;3
44;149;"64";"Andeutungen von Grabkammergrenzen; offensichtlich kein in situ befindliches Skelett; Grab evtl. beraubt + dabei Verräumung der Knochen in SO-Ecke; aufgrund schlechter Grabungsbedingungen ungenügende Befunddokumentation";"2";3;9;3;;;0,00;2;;;1;1;0;0;0;0;0;0;1;0;4,00;0;4
46;150;"65";"Grabkammergrenzen nur noch ungefähr feststellbar; Körperbestattung im W; auf Höhe des linken Unterarms im W Leichenbrandkonzentration; 0,5 m ö von Skelett + Keramik 1,3x2,6 m große Verfärbung mit Holzkohle + Leichenbrand, lag außerhalb des als Grabkammer ";"2";2;9;3;;;0,00;2;2,50;2,50;1;0;0;0;0;0;0;0;1;0;6,25;0;4
47;151;"66/I";"Unmittelbar auf Steinpackung im Südwesten aufliegende Nachbestattung; keine Hinweise auf Überdeckung durch Steine oder anderes Material [spricht doch wohl ganz eindeutig für Überhügelung, die nur nicht entdeckt wurde; ansonsten wäre Skelett wohl kaum so u";"3";1;9;1;;;;3;;;1;0;0;0;0;0;0;0;0;0;;0;4
47;154;"66/II";"Oberer Kammerbereich durch plattige Kalksteine gekennzeichnet, Fläche ca. 2,5x2,5 m; auf Bestattungshorizontebene Kammergrenzen nicht mehr sicher erkennbar, durch Funde aber mindestens 3x3 m abgesteckt [wie kann das sein? Diskrepanz wird nicht kommentiert";"2";2;13;3;;;0,00;2;3,00;3,00;1;0;0;0;0;0;0;0;1;0;5,75;0;4
48;155;"67";"Graue Verfärbungen könnten Hinweis auf Holzkammer geben; flächendeckende 1 cm dicke Brandschüttung, die von sehr dünnem Band gelben Sandes überlagert wird; im gesamten Bereich nur wenige Leichenbrandpartikel, dafür diverse Tierknochenfragmente";"2";2;5;3;;;0,00;2;3,00;3,00;0;0;0;0;1;0;0;0;1;0;2,65;0;3
49;156;"68/I";"Beim Abtrag der oberen Steinlage in Südhälfte der Steinpackung gefunden";"3";3;9;1;;;;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
49;157;"68/II";"Kammergrenzen gut erkennbar; Skelett gut erhalten; Keramikbeigaben in 3 Gruppen, allerdings alle in W-Hälfte aufgestellt";"2";1;15;3;;;0,00;1;4,40;4,20;0;0;0;0;0;0;0;0;1;0;6,65;0;0
50;158;"Erstbestattung";"Grabkammergrenzen nur indirekt erschließbar; komplizierter Befund: Kinderkörperbestattung 5-10 cm über Leichenbrandkonzentration; trennende Erdschicht wohl anzunehmen; im Südwesten Brandschüttung (wohl gleiches Individuum); Beigaben nur zum geringeren Tei";"2";3;9;3;;;0,00;2;2,60;2,60;0;0;0;1;0;0;0;0;1;0;5,40;0;2
50;2973;"Nachbestattung";"Wohl in noch bestehende Kammer der Erstbestattung eingebrachte Körpernachbestattung, auf dünner Erdschicht im w Bereich niedergelegt; wenige Beigaben zuweisbar";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
51;159;"70";"Brandschüttungsgrube mit Steinkreis: graue Verfärbung, die sandigen Kern umschloß, mit Keramik + Leichenbrand; am Rand Kalkstein";"1";2;9;2;1,00;1,00;0,20;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
52;160;"71";"Kammergrenzen ließen sich grob erkennen; im O Störung; größerer Keramikkomplex im NW n von Hockerbestattung";"2";3;5;3;;;0,00;2;2,80;2,80;0;0;0;0;0;0;0;0;1;0;5,25;0;0
53;161;"72";"Schwarze, stark holzkohlehaltige Verfärbung an Steinkreisinnenseite von Grab 69; Störung durch Entwässerungsgraben; um großen senkrecht stehenden Kalkstein steckten Scherben eines Gefäßes; auch darunter einige gefunden (sah so aus, als ob Stele in zerdrüc";"1";3;9;2;;;0,20;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
54;162;"Grabkammer";"Grabkammergrenzen nicht eindeutig beobachtet; Keramik hauptsächlich im O, drei größere Komplexe; an ö Kammerwand zahlreiche Gefäße dicht aneinander gestellt; sö 6 ns aneinandergereihte Gefäßein sö Kammerecke 10-13 cm mächtige 1,3 x 1,5 m große Brandschütt";"2";2;13;3;;;0,00;2;4,30;4,00;1;1;0;0;0;0;0;0;1;0;6,75;0;4
55;164;"74";"Praktisch lediglich 2 stark gestörte + verlagerte Körperbestattungen gefunden [evtl. korrekter: Nachbestattung in Grab 51?]";"1";3;9;1;;;;4;;;1;0;0;0;0;0;0;0;0;0;;0;4
56;165;"75";"Ovale graue Verfärbung, am ö Rand schwarze leichbrandhaltige Verfärbung; mit Leichenbrand gefüllte Urne stand darunter auf Grubenboden";"1";2;9;2;1,70;1,30;0,20;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
57;166;"76";"Grube bis auf Flußschotterschicht eingetieft; am NW-Ende Gefäß mit Leichenbrand; große Keramikscherben lagen flach zwischen Gefäß + Kalkstein-Stele";"1";2;4;2;0,90;0,70;0,68;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
58;167;"77";"Brandbestattung; braun-graue Verfärbung, die teilweise direkt unter Steinpflaster von Grab 68 lag; auf tieferem Planum wurde rundliche schwarze Verfärbung sichtbar, die aufrechten Kalkstein umgab; auf Grubensohle Gefäß mit Leichenbrand; zerdrückt durch Ka";"1";2;9;2;;;0,30;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
59;168;"78";"Mehrschichtig, kompliziert verfüllte Grube; auf Grubensohle dunkelgrauer bis schwarzer, holzkohlehaltiger Feinsand; darüber graubraune Sandschicht; darüber stark tonige Sandfüllung mit Holzkohle; nur wenig Leichenbrand, der aus oberer + unterer Verfüllung";"1";3;9;2;1,90;0,50;0,75;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
60;169;"79";"Runde, graue Verfärbung; Grube bis auf Flußschotter abgetieft; im Zentrum Hochhalsgefäß, das von umgedrehten Napf bedeckt war";"1";2;9;2;0,50;0,50;0,55;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
61;170;"80";"Keine Hinweise auf Grabkammer; große Steinlücken im Zentrum könnten auf Beraubung hinweisen; kaum Funde + nur wenig Leichenteile von 2 Individuen";"2";3;9;3;;;0,00;4;;;1;1;0;0;0;0;0;0;1;0;6,25;0;4
62;171;"81";"Möglicherweise Grabgrube, da Befund aber stark gestört + schlecht dokumentiert, Situation unklar";"1";3;9;1;;;;3;;;0;1;0;0;0;0;0;0;1;0;2,75;0;0
63;172;"82";"Annähernd runde graubraune Verfärbung; untere Hälfte der Grube mit schwarzem Material gefüllt; Leichenbrand in beiden Grubenverfüllschichten + in Schüssel enthalten, die am Nordrand der Grube stand";"1";2;9;2;0,70;0,70;0,35;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
64;173;"83";"Blaßgraue Verfärbung, die sich nicht in Tiefe fortsetzte; durch Entwässerungsgraben gestört; unter einem Kalkstein lagen Scherben, darunter wiederum Leichenbrand";"1";3;9;2;1,20;;;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
65;174;"84";"Nicht dokumentierte, auch schlecht erhaltene Bestattung [Befund vollkommen unklar]";"1";4;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
66;4;"4";"3 Wochen zwischen Entdeckung + Bergung; Grabtiefe gemittelt; unspezifische Holzreste; Lit.: Germania 29, 1951, 139; Bayer. Vorgeschbl. 18/19, 1951/52, 262";"1";3;9;2;;;0,50;4;;;0;0;0;0;0;0;0;0;0;0;;0;1
67;72;"4";"Unklar, ob in evtl. bestehende, nicht erkannte Hügelschüttung von Grab 4 eingegraben oder ohne Steinschutz niedergelegt + einfach überhügelt; Schädel lag bereits im Humushorizont; von Oberschenkeln abwärts wirkte Bestattung gestört; Grab wurde modern am W";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
68;71;"5";"Grube mindestens 0,15cm tief, Rest unter Grundwasserspiegel; Leichenbrand in Verfärbung";"1";3;9;2;0,50;0,40;0,15;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
69;73;"6/17";"Dunkle, schwarze, mit Leichbenbrand und Holzkohle durchsetzte Verfärbung, die Keramikscherben enthielt; vermutlich gehören ""Grab 6"" + ""Grab 17"" nach F. N. zusammen; lag zwischen innerem + äußerem Steinkreis von Grab 3; Relation zu Grab 3 leider nicht gekl";"1";2;6;2;1,40;0,90;0,40;3;;;1;0;0;0;0;0;0;0;0;0;;0;4
70;74;"7";"Halb unterhalb vom äußeren Steinkreis von Grab 1 eingegrabenes Gefäß; keine Eingrabung erkennbar, aber vermutlich älter als äußerer Steinkreis [was auch Datierung der Urne nahelegt]";"1";2;9;2;;;0,40;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
71;75;"9/19";"""Grab 9"": kleine, rundliche Grube ohne klare Grenzen, gefüllt mit grauem/schwarzem Sand mit wenig Leichenbrand + Scherben; ""Grab 19"" ist darunterliegende längliche, holzkohlehaltige Verfärbung = Füllung einer Grube mit welligem Boden; auf Grubensohle 5-10";"1";3;9;2;;;0,50;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
72;77;"8";"Dunkelgraue bis schwarze Verfärbungszone (ca. 1,6m x 0,5 m) westl. von großer schräg gestellter Kalksteinplatte, benachbart zu Grab 7; aus Verfärbung Leichenbrand; 10cm darunter Kinderkörperbestattung, die auf sandigem Material auflag;; Scherben EINES Top";"1";3;9;2;1,60;0,50;;3;;;0;0;0;0;0;0;0;0;0;0;;0;3
73;78;"8a";"Kinderkörperbestattung, die auf sandigem Material auflag, unter Grab 8 [s. dort für weitere Erläuterungen; evtl. zusammengehörig]";"1";2;5;2;0,70;0,50;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
74;79;"10";"Ovale Grube mit schwarzgrauer leichbrand- + holzkohlehaltiger Füllung am äußeren Rand des äußeren Steinkreises von Grab 3; Zusammenhang mit Gräbern 8, 8a, 10a, 11 wahrscheinlich; Berührung im Planum mit 11; evtl. 10a dazugehörig; Scherben zu Scherben aus ";"1";4;4;2;0,60;0,50;0,35;3;;;0;0;0;0;0;0;0;0;0;0;;0;3
75;80;"Grab 10a";"Vollständig erhaltenes mit Leichenbrand gefülltes Gefäß; ohne erkennbare Eintiefung im gelben Sand (Aushub ist also gleich wieder auf Urne geschüttet worden); zwischen Grab 10 + 11";"1";2;9;2;;;0,50;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
76;81;"11";"Länglich-ovale Grube mit mittelgrauer bis tiefschwarzer, leichenbrand- und holzkohlehaltiger sandiger Füllung; im oberen Grubenbereich lagen mehrer Kalksteine; mehrere Scherben gehörten zu Gefäßen aus Grab 8, 8a, 10";"1";2;9;2;1,40;0,40;0,20;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
77;86;"14";"Südl. des äußeren Steinkreisrandes von Grab 3; tiefschwarze, mit Holzkohle + Leichenbrand durchsetzte Grubenverfüllung, die sich bis in den anstehenden lockeren, gelben Sand fortsetzte; auf der Sohle stand Schüssel, deren Funktion unklar ist (Urne?)";"1";2;9;2;0,80;0,55;0,25;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
78;88;"16";"Rundliche Verfärbung mit hohem Leichenbrandanteil; darin mehrere Gefäße, die z. T. mit Öffnung nach unten ins Grab gegeben wurden; in einem der Gefäße befand sich ebenfalls wenig Leichenbrand";"1";4;9;2;0,60;0,50;;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
79;89;"18";"Länglich-braune Verfärbung; im Zentrum tiefschwarze, sandige + holzkohlehaltige Verfärbung mit wenig Leichenbrand; darin stand schräg großer Kalkstein";"1";3;9;2;1,40;0,90;0,30;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
80;90;"20";"Graue bis tiefschwarze Verbärbung mit Leichenbrand + hohem Anteil an Holzkohlepartikel; am nördlichen Rand eingetiefter Kalkstein; in Grube leichenbrandhaltiges Keramikgefäß";"1";2;9;2;0,50;0,40;0,40;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
81;91;"21";"Rundliche, graubraune + leichenbrandhaltige Verfärbung; praktisch nicht dokumentiert, keine Funde";"1";3;9;2;0,20;0,20;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
82;124;"39";"Am Rand einer rundlichen grauen Verfärbung mit Holzkohlepartikeln lagen Scherben eines Gefäßes, in dem wenige Leichenbrandpartikel lagen";"1";2;9;2;0,30;0,30;;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
83;125;"40";"Wurde wohl nicht ausgegraben; evtl. unvollständiger Steinkreis";"4";4;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
84;126;"41";"Graue, länglich-ovale, leichenbrandhaltige Verfärbung; Leichenbrand in dunkleren Bereichen der Verfüllung, im oberen Bereich lag geglühter Kalkstein";"1";3;9;2;0,60;0,30;0,18;3;;;0;0;0;0;0;0;0;0;0;0;;0;3
85;127;"42";"Schwärzliche Verfärbung mit Leichenbrand; am Rand Gefäß, in der Mitte Kalkstein; weitere Scherben weiter entfernt außerhalb des Steinkreises";"1";2;9;2;0,75;0,50;0,15;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
86;128;"43";"Flache, schwärzliche Verfärbung mit Leichenbrand und Holzkohlepartikeln; schlecht dokumentiert";"1";4;9;2;;;0,06;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
87;129;"44";"Im Zentrum des Steinkreises Urne mit 2 Individuen";"1";3;9;2;;;;3;;;1;0;0;0;0;0;0;0;0;0;;0;4
88;130;"Grab 45";"An Grund der Grube leichenbrandhaltige Schüssel, darüber häuften sich Leichenbrand + Holzkohle";"1";2;9;2;0,70;0,70;0,50;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
89;133;"47";"Annähernd rundliche, hellgraue Verfärbung mit tiefschwarzem Kern aus Holkohlepartikeln + Leichenbrand";"1";2;9;2;0,60;0,60;0,12;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
90;134;"48";"Rundlich-ovale, grauschwarze mit grobstückigem Leichenbrand + Holzkohle durchsetzte Verfärbung; im Zentrum großer Kalkstein, daneben aufrechte Schalenfragmente; südlich des Steines Leichenbrand, nördlich Keramik, dort auch leichenbrandhaltiges Gefäß am Gr";"1";1;9;2;0,55;0,55;0,16;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
91;135;"50";"Komplizierter Befund, der aus drei schwärzlichen, stark holzkohlehaltigen Konzentrationen bestand, die länglich durch dunklere Verfärbungen miteinander verbunden sind; im S mehrere Gefäßfragmente, darum Leichenbrandpartikel + Bronzegegenstand; in N stand ";"1";3;9;2;1,50;0,50;0,15;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
92;142;"56";"Graubraune, holzkohle- und leichenbrandhaltige Verfärbung mit unregelmäßigem Umriß; in Grubenfüllung massive Holzkohlenlage; im grauen, tiefer reichenden Verfärbungsbereich deutliche Häufung von Leichenbrand, darin auch unverbranntes Schläfenbeinfragment ";"1";2;9;2;1,20;0,50;0,15;3;;;1;0;0;0;0;0;0;0;0;0;;0;4
93;144;"58";"Knochenfragmente lagen innerhalb einer annähernd rechteckigen Zone sandigen Materials, das etwas dunkler war als umgebender Boden; Steinschutz war nicht vorhanden";"1";3;9;2;3,00;1,50;;4;;;1;0;0;0;0;0;0;0;0;0;;0;4
