"Katalognummer";"Fundplatznummer";"Fundplatzcharakter";"Fundplatzbeschreibung";"X";"Y";"Lokalitätsnummer";"Gemarkung";"Flurname";"Hügelzahl";"Publikationsqualität";"Objektlokalisation";"Ältere_Hallstattzeit";"Jüngere_Hallstattzeit";"Neolithikum";"Bronzezeit";"Urnenfelderzeit";"Latènezeit";"Römische_Kaiserzeit";"Frühmittelalter";"Mittelalter";"Neuzeit"
11;832;2;"Grabhügel, 800 m ssw der Ortsmitte + 110 m ssw von Grabhügeln im Geisrück; angetrichtert, näheres unbekannt";3671000;5521000;808;"Pfaffenberg";"nahe Waldabt. 'Geisrück'";1;3;1;0;0;0;0;0;0;0;0;0;0
12;835;1;"Gruppe von ehemals 4 Hügeln, 400 m n der Ortsmitte; fast vollständig abgetragen; [Anm.: Ettel 1996, 287 Nr. 71 zählt außerdem Schwarz 1955, 141 Nr. 10 als eigenständige Nummer; dieser weist sie aber einem der anderen Lokalitäten in Pfaffenberg zu]";3671000;5523000;808;"Pfaffenberg";"'Rödelsberg'";4;3;1;0;0;0;0;0;0;0;0;0;0
13;831;1;"Gruppe von mindestens 2 Hügel, 600 m sw der Ortsmitte, Untersuchungen 1876/77 + 1921 von P. Reinecke; HaD-LtA";3671000;5522000;808;"Pfaffenberg";"Waldabt. 'Geisrück'";;3;1;0;1;0;0;0;1;0;0;0;0
14;834;2;"Grabhügel, 400 m sw der Ortsmitte; Untersuchung 1876/77; HaD";3671000;5522000;808;"Pfaffenberg";"Waldabt. 'Pfaffenleiten'";1;3;1;0;1;0;0;0;0;0;0;0;0
15;1545;3;"Grabfund, 400 m ssö der Stadtpfarrkirche von Aichach; 1948 wurde beim Hausbau ein Grab mit Funden der Stufe Ha D angeschnitten. Es ist anzunehmen, daß es in einem schon früher verschleiften Hügel lag; Literatur: OA LfD";3658000;5371000;11;;;;3;1;0;1;0;0;0;0;0;0;0;0
16;721;2;"Verebneter Grabhügel, 3000 m nnö von Ort, 120 m n vom Hof Klausstich; 1830 und spätere Grabungen im Zuge des Kiesabbaues; späthallstattzeitliche Funde";3582000;5310000;19;;"ehem. Wald 'Hart'";1;3;1;0;1;0;0;0;0;0;0;0;0
17;501;1;"Gruppe von 7 Hügeln, 1300 m sw von Neuenhaus, beiderseits der Markungsgrenze; alle angegraben; Grabungen 1860 und 1888";3514000;5386000;20;"Grötzingen, Neuenhaus";"Waldabt. 'Untere Neuenhauser Viehweid', 'Schaichberg'";7;3;1;0;1;0;0;0;0;0;0;0;0
18;2889;1;"Gruppe von ca. 12 Hügeln, nnw von Thundorf; Lesefunde 1960, 1966";3792000;5306000;2090;"Hinterau";"'Lettengruben'";12;3;1;0;0;0;0;0;0;0;0;0;0
19;2989;4;"Angeblich Grabfund, von Feldern bei der Ödmühle; Lesefunde von Feinkeramik 1974, 1975; Lit.: Jahrber. Hist. Ver. Straubing 76, 1973, 19";3767000;5421000;2140;"Ödmühle";;;3;1;0;0;0;0;0;0;0;0;0;0
20;2526;1;"Gruppe von mindestens 3 Hügeln, nicht mehr genau zu lokalisieren (Ausgrabungsbericht über 3 nicht zu identifizierende Hügel); 1974 Grabung im Rahmen von Flurbereinigungsmaßnahmen [evtl. identisch]";3584000;5516000;1942;;;;3;0;0;0;0;0;0;0;0;0;0;0
21;16;1;"Wohl vollkommen verebnete Grabhügel, ca. 2000 m sö von Ort; entdeckt 1935 beim Bau des Flugplatzes im Schmiechatal; Grabung von Breeg; Gräber wohl durch alamannische Gräber stark zerstört; auch latènezeitliche Funde [Dokumentation oberflächlich, keine Bef";3504000;5340000;23;"Ebingen";"'Flugplatz'";;2;1;1;1;0;0;0;1;0;1;0;0
22;2670;1;"Gruppe von 3 Hügeln, 4000 m onö von Ort und 300 m nnö vom Galthaus; Grabung 1927 von Eith (3 Hügel); 1 Hügel hallstattzeitlich, mit einem Kreis großer Steinblöcke; auch bronzezeitliche Funde";3505000;5343000;23;"Ebingen";"'Hinter dem Hainloch'";3;3;1;0;0;0;1;0;0;0;0;0;0
23;13;2;"Offenbar einzelner Grabhügel, 5000 m s von Ort; Grabung 1929 von Eith [nach Zürn von Breeg]; Lit.: Germania 14, 1930, 111";3501000;5337000;23;"Ebingen";"'Pfaffental'";1;3;1;0;1;0;0;0;0;0;0;0;0
24;502;1;"Gräberfeld, am W-Rand der Stadt, am sö Fuß des Katzenbuckels; 1936 mehrere Körper- und Brandbestattungen bei Straßenverbreiterung entdeckt, mit Steinen dicht umpackt oder unter Steinpackungen";3501000;5342000;23;"Ebingen";"'Rauenwiesle'";;3;1;0;1;0;0;0;0;0;0;0;0
25;694;1;"Wohl verebnete Grabhügel, ca. 3000 m sö von Ort; angeschnitten 1932/33 bei Begradigung der Schmiecha, Grabung von 3 Hügeln von Breeg [Dokumentation oberflächlich, keine Befundpläne]";3505000;5340000;23;"Ebingen";"'Wasserwerk'";;2;1;1;1;0;0;0;0;0;0;0;0
26;503;1;"Gruppe mehrerer Hügel, 3000 m sö von Ort; Grabungen 1937 von Binder, Nachuntersuchung 1938 von Breeg";3499000;5340000;23;"Lautlingen";"'Kriegsäcker'";;3;0;1;1;0;0;0;0;0;0;0;0
27;17;1;"Gruppe von mindestens 24 Hügeln, 2500 m onö von Truchtelfingen; Grabungen 1841 von Pfarrer Schmidt (1 Hügel), 1880 von Fraas (1 Hügel), 1884 von v. Föhr (3 Hügel), 1984, 1985, 1987, 1988 vom LDA (8 Hügel); durch flächige Untersuchung des Bereiches auch zw";3505000;5345000;23;"Tailfingen (Truchtelfingen)";"'Hinteres Degenfeld' ('Herrenberg', 'Küche')";24;2;1;1;1;0;0;0;0;0;0;0;0
28;504;1;"Gruppe von über 10 Hügeln, 2500 m ö von Truchtelfingen; Grabungen 1880 von Fraas (1 Hügel), 1884/1886 von v. Föhr (7 Hügel), 1926 von Eith und Hülle; auch uk-zeitliche Funde; Lit.: Fundber. Schwaben N. F. 4, 1926-28, 44f.";3505000;5344000;23;"Tailfingen (Truchtelfingen)";"'Vorderes Degenfeld' ('Räuhe'/'vor Bernloch')";10;3;1;1;1;0;0;1;0;0;0;0;0
29;695;1;"Zahlreiche nicht mehr näher zu lokalisierende Grabungen in den Gräberfeldern des Degerfeldes, z. B. 1841";3505000;5345000;23;"Tailfingen";"'Degerfeld'";;3;0;0;0;0;0;0;1;0;0;0;0
30;2672;1;"Grabhügelgruppe; Grabung 1892 von Edelmann";3504000;5345000;23;"Tailflingen";"'Hinteres Degerfeld' ('Knäuel'/'Kneibel')";;3;0;0;0;0;0;0;0;0;0;0;0
31;2981;1;"2 verebnete Grabhügel, ö von Ort; um 1990 bei systematischer Begehung als Lesefunde Keramik der Hallstattzeit";3620000;5413000;24;;"'Mühlgrund', 'Weingraben'";;3;1;0;0;0;0;0;0;0;0;0;0
32;1548;1;"Gruppe von mindestens 10-12 verebneten Hügeln, 500 m osö der Kirche von Ort; Ausgrabung E. Frickhinger 1928 (3 Hügel). Die untersuchten Hügel hatten einen Steinkranz und enthielten Brandbestattungen mit bemalter Keramik, Tonrassel. Nachbestattungen der Fr";3622000;5412000;24;"Bühl i. Ries";"'Der Wasen', 'Sandgarten' ('Gemeindewasen')";11;2;1;1;0;0;0;0;1;0;0;0;0
33;1549;1;"Gruppe von 34 Hügeln, 1700-1900 m wsw von Wildbad (meist auf Gmkg. Rudelstetten liegend, etwa 4 auf Gmkg. Wemding); um 1937 wurden einige hallstattzeitliche Scherben beobachtet; Literatur: OA LfD. - Bodendenkmäler in Bayern (1977) 574. - Jahresber. Hist. ";3623000;5415000;24;"Rudelstetten, Wemding";"'Schwänring-Holz', 'Hasenholz'";34;3;1;0;0;0;0;0;0;0;0;0;0
34;1848;2;"Wohl verebneter Grabhügel, ca. 1850 m ssö der Kirche von Ort am Fuße des Trommetsheimer Berges; Fund eines Bronzeschwertes mit Ortband um 1876 im Acker";3637000;5432000;1272;"Trommetsheim";"'Heidenberg' ('Heidenburg')";1;3;1;1;0;0;0;0;0;0;0;0;0
35;3000;1;"Gruppe von ehemals angeblich 36 Hügeln (heute völlig verschleift), 600 m wnw von Schloß Hegne; Grabungen 1847 von Bezirksförster Halm (5 Hügel), Rodung 1864, Befliegung mit Bewuchsmerkmalen 1985";3507000;5286000;25;;"'Stockteil' (ehem. Wald 'Tafelholz')";36;3;1;0;0;0;0;0;0;0;0;0;0
36;3074;1;"Gruppe von 20 Hügeln, 1200 m nnw von Ort; angeblich hallstattzeitliche Funde; H. 0,3-2,6 m, Dm. 5-20 m";3507000;5287000;25;"Hegne";"Waldabt. 'Schwarzenberg'";20;3;1;0;0;0;0;0;0;0;0;0;0
37;19;2;"Isoliert liegender Grabhügel, wenig n von Gemeinmerk; 1864 Grabung von Dehoff; Bestattungen kreisförmig angeordnet; auch LtA-Funde";3503000;5290000;25;"Kaltbrunn";"'Gemeinmerker Hof' ('Heidenbühl')";1;3;1;1;1;0;0;0;1;0;0;0;0
38;2998;1;"Gruppe von etwa 12 locker gestreuten Hügeln, zwischen Klein- und Groß-Allmendingen; bereits Ende des 19. Jahrhunderts weitgehend verschleift; Lesefunde 1980";3553000;5355000;26;;"'Ried'";12;3;1;0;0;0;0;0;0;0;0;0;0
39;20;1;"Grabhügelgruppe, 1500 m w, auf Gemarkungsgrenze zu Ehingen-Frankenhofen; Grabungen 1840/41 von Spannagel (4 Hügel), von Pfarrer Locher, 1854, 1885 von v. Föhr (4 Hügel), 1890 von Miller und Gaus (2 Hügel)";3546000;5356000;26;"Grötzingen";"Wälder 'Schlatt', 'Heidenhau'";;3;1;1;1;0;0;0;0;0;0;0;0
40;1796;1;"Gruppe von mindestens 20 Hügeln auf der Albhochfläche ca. 800 m wsw der Kirche von Ort; Grabungen von Seminarinspektor Götz 1829 in mehreren Hügeln und durch K. Hörmann 1921 in einem Hügel";3673000;5474000;1248;"Hagenhausen";"Waldabt. 'Aspa'";20;3;1;1;0;0;0;0;0;0;0;0;0
41;1797;1;"Gruppe von 3 Hügeln auf der Albhochfläche zwischen Raschbach und Püscheldorf auf den Ortsfluren der Gemeinden Altdorf und Offenhausen; Grabungen in 3 Hügeln 1885 von Hauptmann Göringer und Nachgrabung in Hügel 1 1939 von F. Vollrath";3674000;5479000;1248;"Raschbach";"'Gstäudi'";3;3;1;1;1;0;0;0;0;0;0;0;0
42;2651;1;"Gruppe von etwa 15 Hügel, 2000 m nw von Ortskirche, im Bereich der Wegegabel; Grabung 1912 von Pollinger; Funde der Hügelgräberbronzezeit und HaD";3726000;5385000;1968;"Eugenbach";"'Buchholz'";15;3;1;0;1;0;1;0;0;0;0;0;0
43;2992;1;"Gruppe von 6 Hügeln, 650 m w von Hagelstadt; Grabung des LfD um 1980 (3 Hügel) wegen Baumaßnahmen; spätbronzezeitliche Hügel mit einer hallstattzeitlichen Nachbestattung";3735000;5422000;2142;;"ehem. Waldabt. 'Grünnerholz'";6;3;1;0;0;0;1;0;0;0;0;0;0
44;754;1;"Wohl Gräberfeld; Bergung der Reste zweier Brandgrabes 1960 westl. der Bahnlinie, sw von Ort, 1965 350 nw vom Bahnhof Buttenheim; 1967 an der Straße nach Dittenheim, weiterer Lesefund 1986; bei Notgrabung 1997 Bergung einer Urnenbestattung, weitere Gräber ";3645000;5520000;770;;"'Haidäcker', Neubaugebiet 'Gotenstraße'";;3;0;1;1;0;0;0;1;0;0;0;0
45;929;2;"Grabhügel, 1000 m sö von Kirche von Geutenreuth + 40 m n Straße; Untersuchung 1888; HaD";3665000;5552000;835;"Mainecker-Forst";"Waldabt. 'Tonlöcher'";1;3;1;0;1;0;0;0;0;0;0;0;0
46;930;1;"Gruppe von 4 verstreuten Hügeln, 1800 m ssw von Ort + 1050 m osö von Tauschendorf; unberührte Steinhügel (1954); 300 m w angetrichterter Hügel [keine Funde bekannt; Datierung?]";3658000;5554000;835;"Pfaffendorf";"Ostseite Kleiner Kordigast";4;3;1;0;0;0;0;0;0;0;0;0;0
47;506;1;"Gruppe von etwa 10 Grabhügel, 3500-4000 m ssw von Ort; Grabungen 1893 von A. Witscher (4 Hügel); bronzezeitliche Hügel mit hallstattzeitlichen Nachbestattungen";3529000;5330000;27;"Heiligkreuztal";"'Roßhau'";10;3;1;0;1;0;1;0;0;0;0;0;0
48;24;1;"4 Grabhügelgruppen von insgesamt 36 Hügeln (um den Hohmichele als 37. geschart), nw von Hundersingen, 2000 m w der Heuneburg; Grabungen 1856, 1877/78, 1880, 1890, 1893, weitere Grabung 1999, 2000, 2002;  im Hohmichele Grabung 1937/38 von G. Riek";3529000;5328000;27;"Heiligkreuztal";"Wald 'Speckhau' ('Hohmichele'-Gruppe)";37;1;1;1;1;0;0;0;0;0;0;0;0
49;3054;1;"Gruppe von 29 Hügeln, 2700 m nnw der Heuneburg, im Wald und angrenzenden Feld; eine n Gruppe mit größeren Hügeln (11 Hügeln) und 130 m s Gruppe mit deutlich kleineren Hügeln (18 Hügel); Grabung in Hügel 10 der n Gruppe 2000 (Zentralgrab in Holzkammer mit ";3530000;5331000;27;"Heiligkreuztal, Ertingen-Binzwangen";"Wald 'Satzet'";29;3;1;0;0;0;0;0;0;0;0;0;0
50;2681;1;"Gruppe von 7 Hügeln, 1500 m ö von Ort; Grabungen in 2 Hügeln";3483000;5401000;1987;"Ottenbronn";"'Oberholz'";7;3;1;0;0;0;0;0;0;0;0;0;0
51;2265;1;"Gruppe von noch 5 Hügeln, auf dem Kamm einer kleinen Höhenzunge; Grabungen 1832 von F. X. Mayer (Pfarrer in Pondorf); wohl bronze- und hallstattzeitliche Funde";3687000;5426000;2169;"Pondorf";;5;3;1;0;1;0;1;0;0;0;0;0;0
52;2738;1;"Gruppe von etwa 8 Hügeln; Grabung 1883 (4 Hügel), Zerstörung der anderen 1905 oder 1906; auch hügelgräberbronzezeitliche Funde";3665000;5365000;2009;"Rudersberg";"'Altoforst', Waldabt. 'Oberer Forst'";8;3;1;0;0;0;1;0;0;0;0;0;0
53;1316;1;"Grabfunde, ca.1000 m nw der Kirche von Ort; Auffindung 1952, 1953 und 1954 bei Sandabbau; auch glockenbecherzeitliche Funde";3504000;5551000;974;;"'Bahnacker'";;3;1;0;0;1;0;0;0;0;0;0;0
54;1315;1;"Gruppe von etwa 6 Hügeln (z. T. Sanddünen), 3000 m sw der Kirche von Alzenau; hallstattzeitliche Funde aus einem Hügel; Dm 6-14 m, H. 0,5-2 m";3503000;5548000;974;;"'Pechofen'";6;3;1;0;0;0;0;0;0;0;0;0;0
55;1961;3;"Brandgrab, gefunden beim Setzen eines Pfostens 1920";3707000;5483000;1291;;"'Haselmühler Straße 62'";;3;0;0;0;0;0;0;0;0;0;0;0
56;1962;2;"Grabhügel, 1927 teilweise gestört, Nachgrabung durch A. Dollacker";3707000;5483000;1291;;"'Hof II der Kaiser-Wilhelm-Kaserne'";;3;0;0;0;0;0;0;0;0;0;0;0
57;1960;1;"Hügel ca. 1,2 m unter dem Straßenpflaster; angegraben bei Kanalschachtungsarbeiten 1893, 1914 und 1920, teilweise beobachtet von A. Dollacker";3707000;5483000;1291;;"'Unter dem Pflaster der Herrnstraße'";;3;0;0;0;0;0;0;0;0;0;0;0
58;1970;1;"Gruppe von 14 teilweise verstreuten Hügeln, 1700 m nnw von Ullersberg und 125 m nw von Pkt. 443,9; 9 Hügel angekesselt, 1907 Lesefunde von hallstattzeitlichen Scherben";3702000;5481000;1291;"Atzlricht";"Wald 'Lechholz'";14;3;1;1;0;0;0;0;0;0;0;0;0
59;1963;1;"Gruppe von ehemals mindestens 20 Hügeln, auf einer kleinen Terrasse über dem Krumbachtal am O-Fuße des Mariahilfberges, 2350 m onö der Stadtkirche Amberg (Ortsmitte) und 275 m s von Pkt. 426,5; Grabungen seit 1816 [keine verwertbare Dokumentation]; Funde ";3709000;5484000;1291;"Kleinraigering";"'Wagrainteil'";20;3;1;0;1;0;1;0;1;0;0;0;0
60;1582;2;"Grabhügel, 1300 m ssö der Kirche von Ort; Ausgrabung Frickhingers 1926 erbrachte eine Körperbestattung mit einer Paukenfibel und - neben der Grabkammer - Gefäßscherben mit Bogenornament. LT-Nachbestattung. Der Hügel hatte einen Steinmantel; Literatur: OA ";3611000;5402000;1118;"Bollstadt";"'Birkert'";;3;1;0;1;0;0;0;1;0;0;0;0
61;696;2;"Stark verflachter Grabhügel, 1600-1800 m sw von Ort; entdeckt 1927, 1935 auch Steinkiste entdeckt";3493000;5377000;32;"Reusten";"'Lachen'";;3;1;0;1;0;0;0;0;0;0;0;0
62;1964;2;"Ehemals 1 Hügel, 700 m ö von Oberammerthal (w Kirche) und 250 m ssö von Pkt. 445,8 (in Literatur auch unter 'Unterammerthal' geführt); Zerstörung 1932 durch den Grundbesitzer, Lesefunde von A. Dollacker";3701000;5482000;1293;"Hirnmühle";"'Mühlgrabenacker'";1;3;1;0;0;0;0;0;0;0;0;0;0
63;2824;1;"Gruppe von ehemals 20 Hügeln, nw von Ort; Grabung 1921 vom LfD (2 Hügel), Lesefunde 1963-1967; wohl HaC-Funde";3665000;5322000;2062;"Frieding, Widdersberg";"'Reiswiesen', 'Anger'";20;3;1;1;0;0;0;0;0;0;0;0;0
64;2829;1;"Gruppe von 3 Hügeln, sö von Ort; Grabung 1886 von Arnold (1 Hügel)";3667000;5314000;2062;"Machtlfing";"'Hexenmoos'";3;3;1;0;0;0;0;0;0;0;0;0;0
65;2934;1;"Gruppe von ehemals (1936) etwa 16 Hügeln, n von Ort; Raubgrabung 1967";3789000;5304000;2108;;"'Thannwies'";16;3;1;0;0;0;0;0;0;0;0;0;0
66;3037;2;"Offenbar einzelner Grabhügel, am Hang (Bezirkskrankenhaus); Grabung 1966 von Seßler und Adolf Lang; Hügel mit Steinkranz und Brandgrab, angeblich hallstattzeitlich";3614000;5464000;2190;;;1;3;0;0;0;0;0;0;0;0;0;0;0
67;32;2;"Wohl unerkannter Grabhügel; 1864 zerstört";3424000;5379000;33;;"'Bahnhof'";;3;1;0;1;0;0;0;0;0;0;0;0
68;2820;1;"Gruppe von 5 Hügeln, s von Ort; Grabungen um 1845 (1 Hügel), 1881/83; HaD-Funde";3666000;5378000;2059;"Rettenbach";"'Beinbergholz'";5;3;1;0;1;0;0;0;0;0;0;0;0
69;2405;2;"Wohl Grabhügel, genauer Ort und Fundumstände unbekannt; Grabung von Kaplan Siegel";3570000;5544000;1025;"Altbessingen";;;3;0;0;0;0;0;0;0;0;0;0;0
70;1372;3;"Vermutlich Grabfund, 600 m n der Kirche von Ort; Auffindung R.Obst und M. Brand 1988, Lesefunde 1989, 1990";3564000;5536000;1025;"Binsfeld";"'Alte Kirche'";;3;1;0;0;0;0;0;0;0;0;0;0
71;2952;1;"Brandgräberfeld, am w Ortsrand; Notbergung des LfD 1990; HaD- und frühmittelalterliche Bestattungen";3568000;5538000;1025;"Heugrumbach";;;3;1;0;1;0;0;0;0;0;1;0;0
72;1352;2;"Völlig beseitigter Grabhügel mit Funden der Hallstattzeit; genaue Fundstelle unbekannt";3511000;5538000;982;;"'Goldbacherstr. 74'";1;3;0;0;0;0;0;0;0;0;0;0;0
73;1357;1;"Ca. 50 Brandgräber, 700 m sw der Kirche von Strietwald; Auffindung 1953 beim Sandabbau; Grabungen 1967-1969; hauptsächlich uk-zeitlich";3508000;5539000;982;;"'Ober der Betzenbühl'";;1;1;1;0;0;0;1;0;0;0;0;0
74;1350;1;"Gruppe von 11 Hügeln, 4300 m nw der Stiftskirche von Aschaffenburg; Grabungen 1881, 1885 und 1897 von E. v. Haxthausen und 1885 von J. Broili (je 3 Hügel); auch schnurkeramische und frühlatènezeitliche Funde; Dm. 6-13 m, H. 0,5-1,5 m";3507000;5540000;982;;"'Strietwald', Abt. 'Molkenbrunn'";11;3;1;0;1;1;0;0;1;0;0;0;0
75;2348;1;"Gruppe von 7 Hügeln, 1800 m nö der Kirche von Kleinostheim, 6000 m nw der Stiftskirche von Aschaffenburg; Grabungen Mitte 19. Jh., 1881, 1885 und 1887 von E. v. Haxthausen; auch schnurkeramische Funde; Dm. 8-15 m, H. 0,5-2 m";3506000;5541000;982;;"'Strietwald', Abt. 'Pickenacker'";7;3;1;0;0;1;0;0;0;0;0;0;0
76;1351;3;"Brandgrab der Urnenfelderzeit oder der Hallstattzeit; Auffindung 1927";3511000;5539000;982;"Damm";"'Auhofstr. 20'";;3;1;0;0;0;0;0;0;0;0;0;0
77;3114;1;"Gräber, w des Postfrachtzentrums, ca. 1700 m sö von Kirche von Ort; Brand- und Körperbestattungen; nahebei auch bronzezeitliche Gräber [Bezug?]";3703000;5340000;2138;;"'Postfrachtzentrum'";;3;1;1;0;0;0;0;0;0;0;0;0
78;722;3;"Körperbestattung, am ö Fuß des Hohenasperg; entdeckt 1930";3510000;5419000;36;;"'Gipsbruch Weiderer'";;3;1;0;1;0;0;0;0;0;0;0;0
79;612;2;"Offenbar isolierter Grabhügel, ö des Hohenasperg auf einem flachen Höhenrücken; Grabungen 1964/65 vom LDA; Grabhügel etwa zu 2 Fünfteln freigelegt; insgesamt neben dem Zentralgrab 33 Nachbestattungen gefunden, eine unbekannte Zahl dürfte aber durch die Ba";3511000;5419000;36;;"'Grafenbühl'";1;1;1;0;1;0;0;0;1;0;0;0;0
80;614;2;"Grabhügel, 200 m ö vom 'Kleinaspergle'; Grabung 1963 vom LDA";3511000;5418000;36;;"nahe dem Kleinaspergle";;2;1;0;1;0;0;0;0;0;0;0;0
81;615;1;"Gruppe von ehemals mindestens 12 Hügeln, 2000 m osö von Ort; Grabungen 1887 von Paulus und Fribolin (2 Hügel), 1951/52 vom LDA (8 Hügel); auch bronze- und frühlatènezeitliche Funde";3512000;5418000;36;;"Wald 'Osterholz'";12;2;1;0;1;0;1;0;1;0;0;0;0
82;49;1;"4 Grabhügelgruppen, einem Höhenzug sö des Aigendorfer Bachs 2500 m nnö von Attenweiler folgend, ca. 2600 m osö der Kirche von Oggelsbeuren; aus einem Grabhügel Bronzesitula";3554000;5336000;2187;"Attenweiler, Oggelsbeuren";"'Oberer Tannenwald'";;3;1;0;0;0;0;0;0;0;0;0;0
83;3121;1;"Gruppe von mehr als 10 verebneten Hügeln, ö von Ort; 1979 Entdeckung durch Befliegung, 1980 Lesefunde";3757000;5424000;2089;;;10;3;1;0;0;0;0;0;0;0;0;0;0
84;2888;3;"Körperbestattung, ca. 300 m n von Ort; entdeckt 1901 beim Pflügen; u. a. bronzenes Hallstattschwert";3757000;5423000;2089;"Rinkam";;;3;1;1;0;0;0;0;0;0;0;0;0
85;1540;1;"Gruppe von ehemals 5 Hügeln, 1100 m sö der Kirche St. Georg in Ort; Ausgrabung 1921 von Maurer (2 Hügel); Dm. 8-15 m, H. 0,3-1,5 m [Dokumentation kaum verwertbar]";3577000;5491000;1078;"Baldersheim";"Wald 'Stelzenholz'";5;2;1;1;0;0;0;0;0;0;0;0;0
86;1273;1;"Brandgräber, 500-600 m nw der Kirche in Aubstadt, auf Fläche von 280 x 30 m; Auffindung W. Jahn 1976. Grabungen 1978 (u. a. Trennwandschale mit Vögeldarstellungen) und 1985 (1 Urnengrab), Notbergung eines Brandgrabes 1987, weitere 7 2000, auch 2001; auch ";3602000;5579000;1035;;"'Dollpfad', 'Trift, 'Trieb'";;3;1;1;0;0;0;0;0;1;0;0;0
87;1272;1;"Gruppe von 123 Hügeln, 1600 m wnw der Kirche von Aubstadt (Ausdehnung: 1750 m; 11 Hügel auf Gmkg. Großeibstadt); Grabungen 1824, 1825, 1874, 1879, Lesefunde 2000 oder 2001; HaD-Funde; Dm. 6-35 m, H. 0,2-2,1 m";3601000;5579000;1035;;"Waldabt. 'Wainzschlag', 'Möchsholz', 'Hofholz', 'Arzenbach'";123;3;1;0;1;0;0;0;0;0;0;0;0
88;2069;1;"Gruppe von ehemals 5 Hügeln, 225 m n von Pkt. 395,2 und 375 m sw von Pkt. 423,4; Grabungen 1906-1908 von Hoffmann, Schwemmer und Walderdorff und Raubgrabung angeblich während des 1. Weltkrieges; hallstatt- und frühlatènezeitliche Funde";3687000;5504000;1331;;"Wald 'Sünderhaufen'";5;3;1;1;1;0;0;0;1;0;0;0;0
